task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b9/6ef80a	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-03 17:33:55.677	64ms	4ms	-	-	-	-	-
2	1d/d2f0f6	20280.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurBun.long.31)	COMPLETED	0	2026-02-03 17:33:55.895	31m 14s	31m 9s	343.8%	32.9 GB	33.7 GB	217 GB	211.6 GB
3	9f/f796b1	20300.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurBun.long.31)	COMPLETED	0	2026-02-03 18:05:09.833	4.7s	21ms	100.4%	0	0	354.7 KB	9.8 KB
4	7c/412f58	20301.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurBun.long.31)	COMPLETED	0	2026-02-03 18:05:14.643	9.9s	5.3s	674.1%	112.2 MB	16.3 GB	17.4 MB	916.7 KB
8	83/a8dd74	20305.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio Bruneiensis)	FAILED	1	2026-02-03 18:05:24.775	19.8s	14.7s	-	-	-	-	-
6	9e/861483	20302.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurBun)	COMPLETED	0	2026-02-03 18:05:24.652	2m 25s	2m 19s	100.3%	3.5 MB	15.6 MB	27 GB	27 GB
5	83/bfa00b	20303.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurBun)	COMPLETED	0	2026-02-03 18:05:24.695	14m 40s	14m 35s	235.2%	70 GB	73.8 GB	28.1 GB	13.8 MB
7	9c/d184f0	20304.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-03 18:05:24.737	3h 41m 45s	3h 41m 39s	2875.4%	56.1 GB	58.5 GB	54.1 GB	28.7 GB
9	ad/8f47cf	20418.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-03 21:47:10.253	10m 5s	9m 59s	266.2%	33.9 GB	35.7 GB	39.7 GB	12.1 GB
10	88/d3c385	20443.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-03 21:57:15.315	9.8s	7s	95.1%	3.5 MB	15.6 MB	1.5 GB	1.5 GB
14	9e/61e7eb	20448.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-03 21:57:15.503	29.6s	26s	149.6%	5 GB	5.8 GB	796 MB	2 GB
