task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d8/bd18e1	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-04 11:27:33.613	45ms	30ms	-	-	-	-	-
2	cb/402f02	20646.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurTes.long.31)	COMPLETED	0	2026-02-04 11:27:33.812	27m 43s	27m 37s	339.1%	31.4 GB	33.7 GB	201.2 GB	195.9 GB
3	18/0b1082	20661.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurTes.long.31)	COMPLETED	0	2026-02-04 11:55:17.352	9.8s	22ms	102.0%	0	0	354.7 KB	9.8 KB
4	ce/3e30f4	20662.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurTes.long.31)	COMPLETED	0	2026-02-04 11:55:27.250	14.9s	9.6s	416.4%	200.1 MB	16.4 GB	17.4 MB	900.8 KB
8	13/0dc141	20666.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio testudinarium)	COMPLETED	0	2026-02-04 11:55:42.369	24.8s	10.8s	73.3%	51.5 MB	8.2 GB	7.3 MB	1.8 MB
5	04/c27034	20663.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurTes)	COMPLETED	0	2026-02-04 11:55:42.247	1m 50s	1m 44s	100.0%	3.5 MB	15.6 MB	24.7 GB	24.7 GB
6	f8/670eca	20664.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurTes)	COMPLETED	0	2026-02-04 11:55:42.288	14m 20s	14m 14s	251.1%	66 GB	68.5 GB	27 GB	17.8 MB
7	24/579618	20665.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-04 11:55:42.329	3h 16m 35s	3h 16m 32s	2872.0%	56.1 GB	58.5 GB	49.3 GB	25.5 GB
10	8b/d96aa4	20829.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-04 15:12:17.713	9m 55s	9m 49s	322.2%	30.8 GB	32.5 GB	37.5 GB	13.1 GB
11	a1/4997f1	20830.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-04 15:22:13.037	14.8s	8s	95.0%	3.5 MB	15.6 MB	1.6 GB	1.6 GB
15	19/e437cc	20835.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-04 15:22:13.233	29.4s	28s	148.8%	5.5 GB	6.3 GB	853.9 MB	2.2 GB
13	a7/564709	20834.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-04 15:22:13.199	1m 29s	1m 26s	100.2%	10.4 MB	14.3 MB	773.8 MB	179.8 MB
12	81/133c30	20833.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-04 15:22:13.161	1m 39s	1m 37s	100.2%	10.4 MB	14.3 MB	853.9 MB	200.1 MB
21	11/a76528	20838.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-04 15:23:52.737	9.9s	7.9s	99.9%	57.1 MB	82.6 MB	200.6 MB	100.1 KB
24	57/15e32c	20839.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	COMPLETED	0	2026-02-04 15:23:52.775	9.8s	6.8s	100.7%	56.9 MB	82.4 MB	180.2 MB	26.7 KB
16	d4/3d804c	20832.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_SPLITFA (primary)	COMPLETED	0	2026-02-04 15:22:13.120	2m 45s	2m 35s	101.1%	50.9 MB	76.5 MB	1.7 GB	1 GB
18	f4/8f36ea	20843.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:MERQURYFK_MERQURYFK (primary)	FAILED	1	2026-02-04 15:23:52.926	2m	1m 55s	-	-	-	-	-
22	05/721b58	20837.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-04 15:23:52.685	2m 25s	2m 21s	108.7%	1.1 GB	1.3 GB	179.9 MB	197 MB
20	d0/12d42c	20840.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-04 15:23:52.811	2m 40s	2m 36s	108.8%	1.2 GB	1.4 GB	200.3 MB	218.7 MB
25	12/9b4b7d	20844.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:MINIMAP2_ALIGN_ASSEMBLY (primary)	COMPLETED	0	2026-02-04 15:24:57.677	3m 20s	3m 17s	782.6%	22.2 GB	27.3 GB	438 MB	3.8 GB
9	66/f86e0a	20667.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_MITOHIFI_READS (DurTes)	COMPLETED	0	2026-02-04 11:57:32.234	3h 37m 6s	3h 36m 50s	364.8%	18.4 GB	2.1 TB	135.9 GB	106.1 GB
14	a5/9c3866	20831.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_PYFASTXINDEX (D_Dat_Ak.fastq.gz)	COMPLETED	0	2026-02-04 15:22:13.080	12m 55s	12m 49s	100.2%	2.9 GB	2.9 GB	49.7 GB	3.6 GB
23	dc/4054b6	20841.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-04 15:23:52.848	16m	15m 49s	1454.4%	11.8 GB	291.5 GB	9.5 GB	6.7 GB
19	a9/476586	20842.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	COMPLETED	0	2026-02-04 15:23:52.886	17m 35s	17m 26s	1458.1%	15 GB	294.7 GB	10.1 GB	7.1 GB
17	6e/2e7b08	20836.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_MITOHIFI_CONTIGS (primary)	FAILED	143	2026-02-04 15:22:27.958	18h 27m 2s	18h 26m 57s	-	-	-	-	-
