task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f2/f4febd	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-04 23:04:02.054	46ms	3ms	-	-	-	-	-
2	7a/db0e0c	20985.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurDul.long.31)	COMPLETED	0	2026-02-04 23:04:02.240	37m 44s	37m 38s	327.1%	29.1 GB	33.7 GB	271.3 GB	258.7 GB
3	fb/5353fd	20986.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurDul.long.31)	COMPLETED	0	2026-02-04 23:41:46.139	4.8s	24ms	118.3%	0	0	354.7 KB	10 KB
4	a3/5e8730	20987.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurDul.long.31)	COMPLETED	0	2026-02-04 23:41:50.972	9.9s	5.4s	664.9%	117.6 MB	16.3 GB	17.4 MB	888 KB
8	ad/62735b	20991.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio dulcis)	COMPLETED	0	2026-02-04 23:42:01.100	59.8s	45.9s	17.3%	51.3 MB	8.2 GB	7.3 MB	1.8 MB
6	e9/9aaa01	20988.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurDul)	COMPLETED	0	2026-02-04 23:42:00.994	2m 30s	2m 28s	100.1%	3.5 MB	15.6 MB	34.3 GB	34.3 GB
7	1d/d48cfc	20990.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurDul)	COMPLETED	0	2026-02-04 23:42:01.066	17m 45s	17m 42s	230.0%	85.6 GB	90.4 GB	38.1 GB	7.8 MB
5	80/cdc058	20989.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-04 23:42:01.031	5h 51m 26s	5h 51m 23s	2924.1%	85.1 GB	87.7 GB	68.7 GB	47.4 GB
10	77/370dd1	20995.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-05 05:33:27.372	17m 15s	17m 11s	181.0%	55.1 GB	57 GB	57.9 GB	11.6 GB
11	b0/04149b	20997.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-05 05:50:42.585	9.5s	7s	95.3%	3.5 MB	15.6 MB	1.4 GB	1.4 GB
16	27/48a648	21001.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-05 05:50:42.750	24.3s	22s	148.6%	4.6 GB	5.3 GB	734.9 MB	1.9 GB
13	45/09d048	20999.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-05 05:50:42.675	1m 25s	1m 20s	100.0%	10.1 MB	14.3 MB	696.2 MB	166 MB
12	94/180ed0	21000.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-05 05:50:42.711	1m 29s	1m 24s	100.0%	10.1 MB	14.3 MB	734.9 MB	175 MB
20	1e/8a1e95	21007.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-05 05:52:12.325	9.8s	6.4s	99.9%	48.3 MB	82.4 MB	175.3 MB	44.4 KB
22	d6/d0936e	21008.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	COMPLETED	0	2026-02-05 05:52:12.363	9.7s	6s	100.5%	47.3 MB	82.4 MB	166.3 MB	10 KB
15	da/e47794	20998.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_SPLITFA (primary)	COMPLETED	0	2026-02-05 05:50:42.633	2m 25s	2m 15s	100.9%	42.2 MB	76.5 MB	1.4 GB	926.6 MB
24	a9/e8d575	21003.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-05 05:52:12.147	2m 15s	2m 10s	108.0%	932.4 MB	1.2 GB	166.1 MB	181.9 MB
21	03/8a19cb	21006.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-05 05:52:12.279	2m 20s	2m 18s	108.1%	931.9 MB	1.2 GB	175.1 MB	191.7 MB
25	4e/12281f	21010.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:MINIMAP2_ALIGN_ASSEMBLY (primary)	COMPLETED	0	2026-02-05 05:53:07.393	3m 10s	3m 6s	696.4%	22.1 GB	25.7 GB	383.8 MB	3.6 GB
23	40/8776d9	21005.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-05 05:52:12.241	14m 10s	13m 57s	1447.6%	7.1 GB	287.5 GB	8.9 GB	6.3 GB
19	d2/7ce675	21004.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	COMPLETED	0	2026-02-05 05:52:12.189	14m 50s	14m 38s	1458.3%	7.2 GB	286.5 GB	9.2 GB	6.5 GB
14	38/4ad0d2	20996.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_PYFASTXINDEX (DurDul.fastq.gz)	COMPLETED	0	2026-02-05 05:50:42.546	17m 40s	17m 34s	100.0%	4.1 GB	4.1 GB	69.3 GB	4.9 GB
18	76/10602b	21009.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:MERQURYFK_MERQURYFK (primary)	COMPLETED	0	2026-02-05 05:52:12.421	17m 25s	17m 16s	523.0%	13.2 GB	13.6 GB	292.4 GB	94.1 GB
34	fa/609f1d	21015.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.379	20m 35s	20m 30s	1369.6%	10.8 GB	12.5 GB	35.3 GB	4.8 GB
26	27/b8ae4c	21011.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.223	30m 35s	30m 30s	1763.9%	10.9 GB	12.3 GB	99.4 GB	16.8 GB
30	93/8e0119	21012.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.263	31m 25s	31m 22s	1718.1%	11 GB	12.3 GB	98.9 GB	16.8 GB
31	e2/c9b136	21013.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.303	32m 20s	32m 13s	1706.7%	10.8 GB	12.8 GB	98.6 GB	16.9 GB
32	b5/913a63	21014.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.341	32m 25s	32m 21s	1702.5%	10.9 GB	12.7 GB	98.8 GB	16.8 GB
27	29/9e99f7	21018.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.496	39m 55s	39m 49s	1495.5%	11.4 GB	13.2 GB	98 GB	16.6 GB
33	31/b0b1a4	21016.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.419	40m 15s	40m 8s	1352.0%	10.9 GB	12.5 GB	98.2 GB	16.6 GB
28	4b/915aab	21019.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.533	40m 30s	40m 25s	1443.3%	10.9 GB	11.9 GB	98.3 GB	16.5 GB
29	0f/91e6cb	21017.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-05 06:08:22.463	40m 35s	40m 27s	1403.5%	10.7 GB	12.2 GB	98.8 GB	16.8 GB
35	d7/b8702b	21020.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_PBCSTAT (primary)	COMPLETED	0	2026-02-05 06:48:57.602	19.6s	10s	96.9%	132.8 MB	190 MB	225.1 MB	158.9 MB
36	c2/0da74c	21021.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_CALCUTS (primary)	COMPLETED	0	2026-02-05 06:49:17.279	9.9s	0ms	123.9%	0	0	79.8 KB	444 B
