task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5f/c4c4d6	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-04 10:54:48.745	89ms	24ms	-	-	-	-	-
2	1a/735dfe	20633.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurGra_Sim.long.31)	COMPLETED	0	2026-02-04 10:54:49.010	19m 38s	19m 33s	325.8%	24.5 GB	33.7 GB	138.1 GB	125.2 GB
3	0f/2bf776	20635.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurGra_Sim.long.31)	COMPLETED	0	2026-02-04 11:14:27.883	9.6s	25ms	85.6%	0	0	354.7 KB	9.6 KB
4	91/96b598	20636.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurGra_Sim.long.31)	COMPLETED	0	2026-02-04 11:14:37.537	14.9s	7.6s	500.0%	125.8 MB	16.3 GB	17.4 MB	921.6 KB
8	27/54f54f	20640.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio gravolens)	FAILED	1	2026-02-04 11:14:52.674	1m 20s	1m 15s	-	-	-	-	-
6	e9/b4dfb2	20637.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurGra_Sim)	COMPLETED	0	2026-02-04 11:14:52.551	1m 50s	1m 48s	99.5%	3.5 MB	15.6 MB	25.9 GB	25.9 GB
5	d1/eeb4b7	20639.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurGra_Sim)	COMPLETED	0	2026-02-04 11:14:52.636	10m 20s	10m 16s	217.3%	44.8 GB	49.6 GB	29.7 GB	6.2 MB
7	9d/fb5a56	20638.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-04 11:14:52.592	1h 43m 50s	1h 43m 48s	2772.8%	31.2 GB	33 GB	51.8 GB	14.1 GB
9	dc/e4b5e3	20681.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-04 12:58:43.028	7m 45s	7m 39s	300.9%	18.1 GB	19.8 GB	25.9 GB	12.9 GB
10	e1/6157c4	20683.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-04 13:06:28.110	14.6s	7s	95.6%	3.5 MB	15.6 MB	1.6 GB	1.6 GB
