task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	85/9e3ed4	-	PIPELINE_INITIALISATION:READ_YAML	CACHED	-	2026-02-05 09:53:01.168	63ms	38ms	-	-	-	-	-
2	f4/4f3d9e	21072.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurKut.long.31)	CACHED	0	2026-02-05 09:53:01.378	20m 33s	20m 26s	324.8%	27.9 GB	33.7 GB	142.7 GB	133.2 GB
3	2b/672430	21085.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurKut.long.31)	CACHED	0	2026-02-05 10:13:35.009	9.7s	27ms	101.7%	3.4 MB	4.6 MB	354.7 KB	9.6 KB
4	df/5f53c2	21086.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurKut.long.31)	CACHED	0	2026-02-05 10:13:44.821	9.9s	5.6s	646.7%	117.6 MB	16.3 GB	17.4 MB	884.4 KB
5	73/cdd7e6	21087.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurKut)	CACHED	0	2026-02-05 10:13:54.824	1m 55s	1m 52s	100.1%	3.5 MB	15.6 MB	25.1 GB	25.1 GB
8	06/3f588f	21090.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio kutejensis)	CACHED	0	2026-02-05 10:13:54.948	25.1s	9.7s	82.0%	51.5 MB	8.2 GB	7.3 MB	1.8 MB
6	9c/9172e5	21089.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurKut)	CACHED	0	2026-02-05 10:13:54.905	10m 55s	10m 53s	313.0%	48.8 GB	55.9 GB	32.5 GB	19.9 MB
7	85/9cc8b9	21210.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-05 22:35:56.137	1h 44m 38s	1h 44m 36s	2786.8%	31.1 GB	32.7 GB	50.1 GB	14.4 GB
10	96/351aab	21259.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-06 00:20:34.607	6m 50s	6m 45s	329.3%	18.1 GB	19.7 GB	26.8 GB	13.5 GB
11	8c/2de98f	21273.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-06 00:27:24.797	14.6s	9s	96.1%	3.5 MB	15.6 MB	1.6 GB	1.6 GB
14	b3/85e83a	21277.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-06 00:27:24.956	34.5s	30s	147.9%	5.6 GB	6.3 GB	881.2 MB	2.3 GB
13	05/bd6978	21272.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-06 00:27:24.757	1m 30s	1m 26s	100.4%	10.4 MB	14.3 MB	788.2 MB	177.4 MB
12	74/35997c	21274.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-06 00:27:24.835	1m 40s	1m 37s	101.0%	10.4 MB	14.3 MB	881.2 MB	200.6 MB
22	4b/7ca2a3	21285.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	COMPLETED	0	2026-02-06 00:29:04.541	9.9s	6.8s	101.7%	39.6 MB	50.4 MB	177.7 MB	31.5 KB
19	5a/b5e5f4	21284.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-06 00:29:04.489	14.9s	8s	101.1%	43.6 MB	50.6 MB	201 MB	105.8 KB
16	68/a81046	21276.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_SPLITFA (primary)	COMPLETED	0	2026-02-06 00:27:24.918	2m 44s	2m 36s	102.1%	37.5 MB	44.5 MB	1.7 GB	1.1 GB
23	a9/013773	21286.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-06 00:29:04.577	2m 25s	2m 23s	109.5%	1 GB	1.3 GB	177.5 MB	194.5 MB
20	27/b1bcf6	21287.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-06 00:29:04.617	2m 45s	2m 39s	109.3%	1.2 GB	1.4 GB	200.7 MB	219.7 MB
25	e5/97a1f0	21292.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:MINIMAP2_ALIGN_ASSEMBLY (primary)	COMPLETED	0	2026-02-06 00:30:09.516	2m 50s	2m 47s	1064.7%	19.9 GB	23.8 GB	439.9 MB	4.6 GB
15	f2/6fa715	21275.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_PYFASTXINDEX (D_pulaPB.fastq.gz)	COMPLETED	0	2026-02-06 00:27:24.881	10m 40s	10m 36s	100.9%	1.9 GB	1.9 GB	50.4 GB	2.3 GB
18	b6/58b51e	21290.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:MERQURYFK_MERQURYFK (primary)	COMPLETED	0	2026-02-06 00:29:04.741	16m 5s	15m 59s	506.9%	15 GB	16.9 GB	239.4 GB	81.7 GB
24	9c/ca2c4d	21288.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-06 00:29:04.656	16m 15s	16m 4s	1455.7%	14.4 GB	294.1 GB	9.5 GB	6.7 GB
21	22/6b26c7	21289.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	COMPLETED	0	2026-02-06 00:29:04.699	19m	18m 48s	1459.2%	19 GB	298.7 GB	10.3 GB	7.3 GB
29	34/25252a	21312.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-06 00:38:04.706	28m 50s	28m 43s	1767.7%	7.5 GB	9 GB	109 GB	13.3 GB
28	6f/773a1b	21311.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-06 00:38:04.669	38m 10s	38m 6s	1681.3%	7.5 GB	9.1 GB	135.7 GB	16.7 GB
26	69/6bebc4	21310.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-06 00:38:04.627	40m 40s	40m 36s	1566.5%	7.4 GB	9 GB	136.4 GB	16.7 GB
27	69/de0f85	21313.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-06 00:38:04.745	46m 5s	46m 1s	1325.6%	7.4 GB	9.3 GB	135.9 GB	16.7 GB
30	6b/5240c0	21314.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_PBCSTAT (primary)	COMPLETED	0	2026-02-06 01:24:09.674	14.9s	5s	95.8%	68 MB	98.8 MB	114.2 MB	71.9 MB
31	26/90f9e3	21315.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_CALCUTS (primary)	COMPLETED	0	2026-02-06 01:24:24.619	10.2s	0ms	108.9%	0	0	79.8 KB	444 B
32	ba/553876	21317.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_HISTPLOT (primary)	COMPLETED	0	2026-02-06 01:24:34.891	9.6s	1s	2496.0%	96.9 MB	16.5 GB	20.9 MB	118.4 KB
33	38/5ba577	21316.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_PURGEDUPS (primary)	COMPLETED	0	2026-02-06 01:24:34.853	34.7s	25s	99.9%	880.6 MB	990 MB	4.7 GB	318.7 KB
34	6a/5515ec	21318.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_GETSEQS (primary)	COMPLETED	0	2026-02-06 01:25:09.595	9.9s	3s	96.6%	46.3 MB	68.5 MB	881.2 MB	881.1 MB
36	16/7c632e	21320.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:CONCATENATE_HAPLOTYPES (primary)	COMPLETED	0	2026-02-06 01:25:19.641	9.9s	4s	100.0%	3.5 MB	15.6 MB	910.7 MB	910.6 MB
35	6a/2ba2f0	21319.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_HAPLOTIGS (primary)	COMPLETED	0	2026-02-06 01:25:19.595	9.9s	7.8s	100.1%	10.4 MB	14.3 MB	122.7 MB	18.2 MB
47	04/58b537	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (1)	COMPLETED	-	2026-02-06 01:25:29.572	328ms	237ms	-	-	-	-	-
48	b6/37af47	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (2)	COMPLETED	-	2026-02-06 01:25:29.576	325ms	236ms	-	-	-	-	-
46	74/e9377b	21325.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurKut.cram)	COMPLETED	0	2026-02-06 01:25:29.744	5.1s	1s	103.1%	3.1 MB	4.3 MB	289.1 KB	7.6 KB
44	d6/bc0aff	21327.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap1)	COMPLETED	0	2026-02-06 01:25:29.811	5s	3s	100.8%	6.1 MB	10.7 MB	758.7 MB	43.5 KB
45	2d/e698a9	21329.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurKut.cram)	COMPLETED	0	2026-02-06 01:25:29.887	4.9s	0ms	130.9%	3.1 MB	4.3 MB	289.1 KB	7.6 KB
39	b5/3f98b5	21326.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.htigs.all.fa)	COMPLETED	0	2026-02-06 01:25:29.779	5s	4s	100.8%	6.1 MB	10.8 MB	910.8 MB	66.1 KB
