task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	09/26faae	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-03 17:44:48.442	113ms	36ms	-	-	-	-	-
2	ef/f7e63a	20291.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurMK.long.31)	COMPLETED	0	2026-02-03 17:44:48.743	19m 28s	19m 23s	344.0%	31.1 GB	33.7 GB	122.2 GB	119.8 GB
3	dd/d4113e	20294.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurMK.long.31)	COMPLETED	0	2026-02-03 18:04:18.488	8.5s	23ms	114.9%	0	0	354.7 KB	9.5 KB
4	a3/a55f8a	20295.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurMK.long.31)	COMPLETED	0	2026-02-03 18:04:27.024	14.9s	7.1s	528.7%	194.4 MB	16.3 GB	17.4 MB	921.1 KB
8	a4/f1c0f7	20299.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio zibethinux x Durio Gravolens)	FAILED	1	2026-02-03 18:04:42.578	59.4s	55s	-	-	-	-	-
5	91/9c68b0	20296.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurMK)	COMPLETED	0	2026-02-03 18:04:42.470	1m 54s	1m 49s	100.3%	3.5 MB	15.6 MB	20.6 GB	20.6 GB
7	90/f19ac3	20298.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurMK)	COMPLETED	0	2026-02-03 18:04:42.537	9m 29s	9m 25s	233.3%	40.9 GB	46.2 GB	24.5 GB	17.8 MB
6	57/9c79c5	20297.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-03 18:04:42.502	1h 20s	1h 10s	2646.8%	33.1 GB	34.8 GB	41.1 GB	9.3 GB
9	2b/17f79d	20330.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-03 19:05:02.465	4m 35s	4m 31s	395.7%	12.5 GB	14.8 GB	21.7 GB	13.6 GB
10	0e/52ecb4	20332.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-03 19:09:37.655	14.8s	9s	95.8%	3.5 MB	15.6 MB	1.6 GB	1.6 GB
