task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	93/071165	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-04 11:30:20.074	116ms	69ms	-	-	-	-	-
2	7c/64c880	20649.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurOxl.long.31)	COMPLETED	0	2026-02-04 11:30:20.373	19m 53s	19m 47s	323.8%	25.5 GB	33.7 GB	141.6 GB	130.5 GB
3	e7/d9ee8f	20654.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurOxl.long.31)	COMPLETED	0	2026-02-04 11:50:14.515	9.1s	28ms	101.4%	3.4 MB	4.6 MB	354.1 KB	9.6 KB
4	b2/7adff6	20655.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurOxl.long.31)	COMPLETED	0	2026-02-04 11:50:23.723	14.9s	7.1s	525.6%	194.4 MB	16.3 GB	17.4 MB	909.3 KB
8	91/be2fb1	20659.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio oxleyanus)	COMPLETED	0	2026-02-04 11:50:38.847	24.8s	10.2s	77.7%	51.4 MB	8.2 GB	7.3 MB	1.8 MB
5	64/19ed05	20656.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurOxl)	COMPLETED	0	2026-02-04 11:50:38.725	1m 55s	1m 52s	100.0%	3.5 MB	15.6 MB	24.9 GB	24.9 GB
6	18/25b9a3	20657.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurOxl)	COMPLETED	0	2026-02-04 11:50:38.767	11m 40s	11m 36s	358.6%	51.1 GB	60 GB	38.2 GB	16.2 MB
7	79/da5c0e	20658.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-04 11:50:38.807	1h 53m 15s	1h 53m 10s	2803.3%	35.2 GB	37 GB	49.9 GB	15.6 GB
10	36/cf71aa	20717.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-04 13:43:54.166	8m 10s	8m 7s	264.8%	19.5 GB	21.3 GB	25.1 GB	10.5 GB
11	e1/912405	20730.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-04 13:52:04.181	9.8s	6s	99.9%	3.5 MB	15.6 MB	1.3 GB	1.3 GB
