task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	11/22c2cb	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-03 17:48:30.965	47ms	6ms	-	-	-	-	-
2	eb/c0060e	20293.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurSin.long.31)	COMPLETED	0	2026-02-03 17:48:31.175	25m 53s	25m 48s	335.0%	30.2 GB	33.7 GB	178.4 GB	174.1 GB
3	70/43a6cc	20316.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurSin.long.31)	COMPLETED	0	2026-02-03 18:14:24.704	9.8s	27ms	104.6%	3.4 MB	4.6 MB	354.7 KB	9.8 KB
4	dd/e23dfe	20317.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurSin.long.31)	COMPLETED	0	2026-02-03 18:14:34.552	9.9s	5.7s	639.6%	114.2 MB	16.3 GB	17.4 MB	904.6 KB
8	8e/211ffa	20321.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio singaporensis)	COMPLETED	0	2026-02-03 18:14:44.796	24.7s	9.8s	81.5%	51.5 MB	8.2 GB	7.3 MB	1.8 MB
6	83/417c3a	20318.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurSin)	COMPLETED	0	2026-02-03 18:14:44.673	1m 50s	1m 43s	100.3%	3.5 MB	15.6 MB	22.1 GB	22.1 GB
5	e0/54aac5	20320.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurSin)	COMPLETED	0	2026-02-03 18:14:44.759	12m 45s	12m 41s	229.2%	57.1 GB	59.4 GB	24.8 GB	10.5 MB
7	1c/584fad	20319.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-03 18:14:44.714	2h 36m 55s	2h 36m 52s	2839.8%	43.3 GB	45.2 GB	44.1 GB	21.6 GB
10	40/eb3f1e	20393.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-03 20:51:40.003	8m 15s	8m 10s	270.9%	25.8 GB	27.6 GB	32.5 GB	12 GB
11	48/bca74a	20399.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-03 20:59:55.436	14.4s	7s	96.0%	3.5 MB	15.6 MB	1.5 GB	1.5 GB
16	23/376f41	20396.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-03 20:59:55.326	34.6s	29s	154.2%	5.2 GB	6 GB	808.7 MB	2.1 GB
13	af/698160	20398.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-03 20:59:55.400	1m 24s	1m 21s	100.2%	10.4 MB	14.3 MB	702.8 MB	167.3 MB
