task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	26/471722	-	PIPELINE_INITIALISATION:READ_YAML	CACHED	-	2026-02-04 11:37:59.253	44ms	35ms	-	-	-	-	-
2	2c/a7693a	20653.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurSul.long.31)	CACHED	0	2026-02-04 11:37:59.443	20m 49s	20m 42s	351.5%	33.6 GB	33.7 GB	142.8 GB	145.2 GB
3	92/4f6800	20668.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurSul.long.31)	CACHED	0	2026-02-04 11:58:49.554	8.4s	32ms	75.4%	3.4 MB	4.6 MB	354.7 KB	9.4 KB
4	7e/ba7bc7	20669.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurSul.long.31)	CACHED	0	2026-02-04 11:58:58.032	14.9s	7s	534.8%	194.7 MB	16.3 GB	17.4 MB	904.5 KB
6	fd/e80375	20671.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurSul)	CACHED	0	2026-02-04 11:59:13.109	1m 40s	1m 36s	100.2%	3.5 MB	15.6 MB	22.6 GB	22.6 GB
7	80/79c9d5	20672.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	CACHED	0	2026-02-04 11:59:13.143	1h 5m 30s	1h 5m 20s	2600.3%	33.1 GB	34.9 GB	45.2 GB	10.6 GB
5	d3/1d45c3	20670.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurSul)	CACHED	0	2026-02-04 11:59:13.066	10m 30s	10m 26s	226.5%	44.3 GB	48.3 GB	26.4 GB	18.6 MB
9	29/125b0f	20682.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	CACHED	0	2026-02-04 13:04:43.587	4m 30s	4m 27s	369.8%	13.9 GB	16.2 GB	22.2 GB	12.7 GB
10	d2/90002d	20697.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	CACHED	0	2026-02-04 13:09:13.483	9.7s	7s	98.4%	3.5 MB	15.6 MB	1.6 GB	1.6 GB
13	e3/4dbd08	20698.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_SPLITFA (primary)	CACHED	0	2026-02-04 13:09:13.542	2m 30s	2m 23s	101.2%	33.7 MB	44.5 MB	1.6 GB	1 GB
12	74/c9265c	20700.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	CACHED	0	2026-02-04 13:09:13.634	1m 30s	1m 27s	100.0%	10.4 MB	14.3 MB	768.6 MB	175 MB
11	8e/5dcc5c	20701.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	CACHED	0	2026-02-04 13:09:13.683	1m 35s	1m 31s	100.1%	10.1 MB	14.3 MB	826.8 MB	187.7 MB
14	5d/10d931	20699.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_PYFASTXINDEX (D_Sul_K.fastq.gz)	CACHED	0	2026-02-04 13:09:13.586	9m 15s	9m 10s	100.1%	1.7 GB	1.7 GB	45.4 GB	2 GB
15	55/f98dad	20702.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	CACHED	0	2026-02-04 13:09:13.725	29.5s	26s	151.0%	5.1 GB	5.9 GB	826.8 MB	2.1 GB
16	d7/e5ac0e	20710.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:MINIMAP2_ALIGN_ASSEMBLY (primary)	CACHED	0	2026-02-04 13:11:43.263	2m 45s	2m 39s	1049.3%	19.4 GB	22.7 GB	411.9 MB	4.6 GB
23	48/c71876	20706.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	CACHED	0	2026-02-04 13:10:48.422	9.8s	6.5s	100.9%	39.8 MB	50.4 MB	175.3 MB	15.8 KB
19	ca/d085d8	20703.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	CACHED	0	2026-02-04 13:10:48.257	2m 35s	2m 29s	108.1%	1 GB	1.3 GB	187.8 MB	205.7 MB
22	f3/15ea32	20704.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	CACHED	0	2026-02-04 13:10:48.306	2m 25s	2m 19s	108.2%	1004.2 MB	1.3 GB	175.1 MB	191.9 MB
21	01/63e779	20707.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	CACHED	0	2026-02-04 13:10:48.457	9.7s	7.1s	101.0%	40.1 MB	50.6 MB	188 MB	49.2 KB
18	cd/1955d4	20705.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	CACHED	0	2026-02-04 13:10:48.369	17m 45s	17m 32s	1460.5%	19.4 GB	299.2 GB	9.9 GB	7 GB
20	07/5d4798	20708.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	CACHED	0	2026-02-04 13:10:48.499	15m 25s	15m 16s	1456.8%	8.1 GB	287.8 GB	9.3 GB	6.6 GB
