task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	13/eb5e7b	-	PIPELINE_INITIALISATION:READ_YAML	COMPLETED	-	2026-02-04 11:34:53.916	106ms	23ms	-	-	-	-	-
2	43/913467	20651.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_FASTK (DurZibPV.long.31)	COMPLETED	0	2026-02-04 11:34:54.173	31m 48s	31m 43s	338.3%	32.7 GB	33.7 GB	227.3 GB	221.3 GB
3	0f/41e6ae	20674.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:FASTK_HISTEX (DurZibPV.long.31)	COMPLETED	0	2026-02-04 12:06:43.872	8.7s	31ms	81.4%	3.4 MB	4.6 MB	354.7 KB	9.9 KB
4	44/c5da47	20675.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:KMERS:GENOMESCOPE2 (DurZibPV.long.31)	COMPLETED	0	2026-02-04 12:06:52.652	9.9s	6.3s	579.8%	192.6 MB	16.4 GB	17.4 MB	889.5 KB
8	e8/89cdf3	20679.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_FINDMITOREFERENCE (Durio zibethinus cv. Putih Vanilla)	COMPLETED	0	2026-02-04 12:07:02.810	24.8s	10.3s	77.0%	47.7 MB	8.2 GB	6.7 MB	1.2 MB
6	8d/efd04b	20677.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_INPUT_READS (DurZibPV)	COMPLETED	0	2026-02-04 12:07:02.730	2m 5s	2m 1s	100.0%	3.5 MB	15.6 MB	28.4 GB	28.4 GB
5	08/080fed	20678.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:OATK (DurZibPV)	COMPLETED	0	2026-02-04 12:07:02.773	16m	15m 55s	240.1%	75 GB	79.8 GB	31.4 GB	18 MB
9	00/54b9a3	20680.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:MITOHIFI_MITOHIFI_READS (DurZibPV)	FAILED	1	2026-02-04 12:09:07.929	3h 38m 35s	3h 38m 30s	-	-	-	-	-
7	42/e9c9dd	20676.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM_BIN ()	COMPLETED	0	2026-02-04 12:07:02.691	4h 2m	4h 1m 51s	2894.2%	59.1 GB	61.3 GB	56.8 GB	29.4 GB
10	04/464f81	20867.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:RAW_ASSEMBLY:HIFIASM (primary)	COMPLETED	0	2026-02-04 16:09:03.396	12m 25s	12m 18s	254.4%	35.1 GB	37 GB	40.8 GB	12.4 GB
11	d3/7e20fd	20870.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:ORGANELLE_ASSEMBLY:CONCATENATE_ASSEMBLIES (primary)	COMPLETED	0	2026-02-04 16:21:28.535	14.6s	8s	95.9%	3.5 MB	15.6 MB	1.5 GB	1.5 GB
