# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn26                -          u0                   -             2160    3030   12241   11338   12261   11331    3674    -     7.2e-60  196.1   4.3  -
rrn18                -          u0                   -              753    1177     617     179     637     168    2142    -     9.9e-37  118.8   4.8  -
rrn18                -          u0                   -              342     603    1189     932    1192     929    2142    -       0.017    5.2   6.4  -
rrn26                -          u1                   -             2069    3030     688    1824     667    1832    3674    +     4.8e-67  217.5   2.0  -
rrn26                -          u1                   -             1306    1412      15     120       2     128    3674    +       0.085    0.9   2.5  -
rrn26                -          u2                   -             2069    3030     689    1825     668    1845    3674    +     7.6e-67  219.0   2.2  -
rrn26                -          u2                   -             1296    1412       6     121       2     129    3674    +         0.4    0.8   2.5  -
rrn18                -          u7                   -              753    1177   10289   10727   10269   10738    2142    +     8.9e-37  118.8   4.8  -
rrn18                -          u7                   -             1483    1682   10842   11047   10814   11063    2142    +     9.2e-09   25.9   1.4  -
rrn18                -          u7                   -              342     603    9717    9974    9714    9977    2142    +       0.014    5.4   6.3  -
rrn26                -          u8                   -             2160    3030    9886    8983    9906    8975    3674    -     7.1e-60  195.8   4.5  -
matK                 -          u9                   -             1058    1383   44893   45212   44882   45232    1556    +       1e-61  208.0  55.2  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXLE87j3/tmpXXXXikyAy2.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
