# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn16                -          u0                   -              634    1189     622      43     652      25    1491    -     2.3e-36  121.8   4.8  -
rrn23                -          u0                   -             2283    2784   10908   10413   10917   10398    2810    -     2.2e-28   94.2   2.3  -
rrn16                -          u0                   -              453     483     968     937    1147     932    1491    -        0.91    3.8   3.2  -
rrn23                -          u1                   -             2283    2784      12     507       3     522    2810    +     1.5e-28   94.2   2.3  -
trnA-UGC             -          u1                   -               10      53    7219    7262    7214    7282      73    +         2.7    8.0   3.8  -
trnA-UGC             -          u2                   -               16      53    4865    4902    4857    4922      73    +         3.2    7.3   3.8  -
rrn23                -          u3                   -             1782    2783     922    1922     901    1932    2810    +     2.1e-46  154.0   4.4  -
rrn23                -          u3                   -             1699    1773     689     769     659     789    2810    +     0.00056   13.2   4.2  -
rrn23                -          u3                   -             1060    1173       8     122       1     142    2810    +       0.017    8.3   2.7  -
rrn23                -          u4                   -             1782    2784   10969    9968   10989    9954    2810    -       2e-46  154.0   4.5  -
rrn16                -          u7                   -              633    1483    8848    7942    8877    7937    1491    -     3.8e-47  157.9   4.6  -
rrn23                -          u7                   -             1782    2783    5118    4118    5138    4105    2810    -     2.8e-46  153.9   4.5  -
rrn23                -          u7                   -              151     530    7240    6840    7259    6820    2810    -     1.1e-19   65.7  17.1  -
rrn23                -          u7                   -              679    1173    6441    5918    6459    5898    2810    -     3.3e-15   50.8   9.1  -
rrn23                -          u7                   -             1699    1773    5351    5271    5381    5251    2810    -     0.00074   13.2   4.2  -
rrn16                -          u7                   -              453     483    9193    9162    9372    9157    1491    -         1.2    3.8   3.2  -
rpoC2                -          u8                   -                3    4167  120252  124458  120250  124459    4168    +           0 4893.1 179.1  -
rpoB                 -          u8                   -                1    3213  114002  117214  114002  117214    3213    +           0 3960.4 120.8  -
rrn23                -          u8                   -                1    2810   19352   22161   19352   22161    2810    +           0 3691.4  70.3  -
psaA                 -          u8                   -                1    2253   97352   99604   97352   99604    2253    +           0 2906.5  38.7  -
psaB                 -          u8                   -                1    2205   99630  101834   99630  101834    2205    +           0 2811.9  63.6  -
ycf2                 -          u8                   -             2640    5092    3385    5823    3383    5825    6869    +           0 2720.2 148.7  -
ndhF                 -          u8                   -                1    2223   26552   24336   26552   24316    2235    -           0 2302.2 222.3  -
rpoC1                -          u8                   -              431    2049  118448  120072  118428  120072    2049    +           0 1972.5  56.3  -
rrn16                -          u8                   -                1    1491   15466   16955   15466   16955    1491    +           0 1944.2  35.5  -
psbB                 -          u8                   -                1    1527   60445   58919   60445   58919    1527    -           0 1932.6  47.7  -
atpA                 -          u8                   -                1    1523  129893  131415  129893  131416    1524    +           0 1874.9  39.6  -
atpB                 -          u8                   -                1    1497   82377   83873   82377   83873    1497    +           0 1853.2  23.9  -
psbC                 -          u8                   -                1    1422  106064  104643  106064  104643    1422    -           0 1807.6  32.3  -
ndhD                 -          u8                   -                1    1503   31669   30167   31669   30167    1503    -           0 1749.6 107.6  -
ycf2                 -          u8                   -                5    1356     813    2167     803    2173    6869    +           0 1627.8  60.5  -
ycf2                 -          u8                   -             5038    6386    5804    7159    5803    7179    6869    +           0 1590.4  33.1  -
matK                 -          u8                   -                2    1514  138629  140135  138628  140136    1515    +           0 1474.9 133.1  -
ycf2                 -          u8                   -             1325    2555    2175    3384    2162    3386    6869    +           0 1443.9  62.9  -
ndhH                 -          u8                   -                1    1182   37757   36576   37757   36576    1182    -           0 1417.8  51.4  -
psbA                 -          u8                   -                1    1062  140771  141832  140771  141832    1062    +           0 1367.1  32.8  -
psbD                 -          u8                   -                1    1062  107073  106012  107073  106012    1062    -           0 1356.2  43.1  -
ycf1                 -          u8                   -             2881    5003   41558   39552   41578   39523    5864    -           0 1172.9 317.6  -
rpoA                 -          u8                   -                1    1002   53734   54746   53734   54760    1014    +           0 1166.2  71.1  -
petA                 -          u8                   -                1     963   73082   72120   73082   72120     963    -           0 1154.0  27.1  -
ccsA                 -          u8                   -                1     966   28905   29876   28905   29876     966    +           0 1094.5  79.9  -
ndhB                 -          u8                   -                1     778   11581   10804   11581   10784    1533    -    1.3e-300 1001.5  39.0  -
ycf5                 -          u8                   -                1     971   28905   29863   28905   29879     978    +    5.9e-294  978.3  78.7  -
ndhB                 -          u8                   -              775    1533   10124    9366   10144    9366    1533    -    2.1e-290  967.7  37.6  -
atpI                 -          u8                   -                1     744  125635  126378  125635  126378     744    +    9.3e-269  895.5  35.9  -
rps2                 -          u8                   -                1     711  124699  125415  124699  125415     711    +    8.7e-255  849.4  28.3  -
ndhK                 -          u8                   -                1     678   86945   87622   86945   87622     678    +    5.2e-246  820.3  22.8  -
rbcL                 -          u8                   -                2     661   81278   80619   81279   80618     662    -    1.6e-244  815.2   7.7  -
cemA                 -          u8                   -                1     690   74002   73313   74002   73313     690    -    1.2e-236  789.3  52.3  -
petB                 -          u8                   -                4     648   57081   56437   57084   56437     648    -    9.6e-234  779.6  28.9  -
accD                 -          u8                   -              913    1563   77463   76817   77483   76796    1591    -    4.5e-231  771.1  29.0  -
rps4                 -          u8                   -                1     606   92439   93044   92439   93044     606    +    4.9e-221  737.8  26.4  -
rps3                 -          u8                   -                1     647   48955   49601   48955   49621     657    +    1.2e-216  723.3  50.9  -
ycf1                 -          u8                   -              113     711   45166   44544   45184   44539    5864    -      2e-194  647.4  41.1  -
ycf4                 -          u8                   -                1     555   75555   75001   75555   75001     555    -    9.9e-193  643.7  36.6  -
pafII                -          u8                   -                1     555   75555   75001   75555   75001     555    -    6.9e-192  640.8  36.6  -
ycf1                 -          u8                   -             4838    5805   39286   38297   39292   38277    5864    -    1.6e-191  637.8 132.1  -
ndhA                 -          u8                   -                1     564   36574   36011   36574   36000    1092    -    7.7e-190  634.7  34.5  -
ndhA                 -          u8                   -              537    1092   34919   34363   34939   34363    1092    -    3.7e-182  609.2  45.3  -
atbB                 -          u8                   -                1     632   82661   83292   82661   83293     633    +    5.9e-179  598.7  10.3  -
ndhI                 -          u8                   -                1     502   34280   33779   34280   33777     504    -    1.4e-178  596.9  27.5  -
ndhG                 -          u8                   -                1     531   33355   32825   33355   32825     531    -    1.7e-175  586.9  50.6  -
rps7                 -          u8                   -                1     468   12371   11904   12371   11904     468    -    4.1e-174  582.2  18.0  -
petD                 -          u8                   -                7     483   55446   54970   55452   54970     483    -      7e-173  578.1  24.4  -
ndhJ                 -          u8                   -                1     477   87750   88226   87750   88226     477    +    1.1e-171  573.9  13.7  -
ycf68                -          u8                   -                1     478   17375   17854   17375   17862     484    +    2.4e-169  566.3   0.2  -
rpl2                 -          u8                   -              383     826   47610   48051   47590   48051     826    +    7.7e-166  555.0  13.6  -
ycf2                 -          u8                   -             6358    6869    7185    7705    7165    7705    6869    +    2.2e-161  537.0  25.1  -
rpoC1                -          u8                   -                1     442  117241  117682  117241  117702    2049    +    3.2e-149  498.9  23.9  -
rpl2                 -          u8                   -                1     391   46548   46938   46548   46956     826    +    9.6e-147  491.8  13.5  -
atpF                 -          u8                   -              145     555  129412  129822  129392  129822     555    +    5.1e-141  472.8  24.3  -
atpE                 -          u8                   -                1     401   83870   84270   83870   84271     402    +    1.3e-139  468.1  13.8  -
rps11                -          u8                   -                1     417   53247   53663   53247   53663     417    +      2e-139  467.7   7.1  -
rps8                 -          u8                   -                1     405   52110   52514   52110   52514     405    +      6e-139  466.2  24.8  -
rpl16                -          u8                   -                7     407   51039   51439   51033   51440     408    +    1.4e-137  461.7  14.2  -
psaA                 -          u8                   -              105    2111   99662  101677   99642  101697    2253    +    4.3e-132  441.8  52.5  -
psaB                 -          u8                   -               35    2139   97458   99541   97444   99569    2205    +    7.5e-132  441.3  35.1  -
rpl14                -          u8                   -                1     369   51575   51943   51575   51943     369    +    6.7e-130  436.0  14.1  -
rpl22                -          u8                   -               34     500   48464   48972   48443   48980     508    +    8.5e-127  426.1  30.0  -
ndhC                 -          u8                   -                1     363   86522   86884   86522   86884     363    +    1.2e-126  425.3  32.9  -
ycf1                 -          u8                   -             1101    1606   44176   43648   44177   43642    5864    -    7.5e-114  379.9  69.9  -
rps14                -          u8                   -                1     303  101963  102265  101963  102265     303    +    6.5e-106  356.8  10.6  -
ycf1                 -          u8                   -             1768    2535   42844   42053   42864   42033    5864    -    9.7e-106  353.0  74.5  -
ndhE                 -          u8                   -                1     305   32599   32295   32599   32294     306    -      1e-102  346.4  29.2  -
ycf1                 -          u8                   -             2479    2905   42008   41582   42028   41562    5864    -    6.9e-100  333.5  29.6  -
rpl23                -          u8                   -                1     282   46248   46529   46248   46529     282    +     5.8e-99  334.1  12.4  -
psbE                 -          u8                   -                1     252   70120   70371   70120   70371     252    +     2.4e-90  305.4  10.0  -
rps12                -          u8                   -              114     346   13231   12999   13251   12987     372    -     2.7e-87  295.7   2.3  -
ycf15                -          u8                   -               28     383    7707    8088    7684    8117     506    +     3.3e-87  294.9  19.6  -
rps18                -          u8                   -               27     299   65931   65668   65951   65667     306    -     4.8e-87  295.2  19.6  -
psaC                 -          u8                   -                1     246   32046   31801   32046   31801     246    -     1.3e-86  293.1   6.7  -
atpH                 -          u8                   -                1     246  127576  127821  127576  127821     246    +     1.6e-86  292.5   9.0  -
rps15                -          u8                   -                1     273   38124   37852   38124   37852     273    -     4.2e-82  279.0  33.8  -
accD                 -          u8                   -               10     386   79393   78993   79405   78992    1591    -     5.4e-82  276.9  39.2  -
