# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn26                -          u2                   -             2629    3030      11     409       4     416    3674    +     4.4e-28   89.9   2.9  -
rrn26                -          u4                   -             2069    3030    4579    3443    4600    3423    3674    -     1.2e-66  218.1   2.2  -
rrn18                -          u4                   -              753    1177    8075    7637    8095    7626    2142    -     6.9e-37  118.8   4.8  -
rrn18                -          u4                   -             1483    1682    7522    7317    7549    7297    2142    -     6.7e-09   25.9   1.3  -
rrn18                -          u4                   -             1806    1849    7212    7169    7217    7148    2142    -     1.3e-06   18.4   1.3  -
rrn26                -          u4                   -              670     738    6166    6097    6189    6054    3674    -     5.9e-06   16.6   7.7  -
rrn18                -          u4                   -              566     603    8420    8390    8595    8387    2142    -        0.05    3.1   2.9  -
rrn26                -          u4                   -             1294    1412    5264    5147    5282    5137    3674    -        0.25    1.3   2.2  -
rrn26                -          u4                   -              931    1083    5668    5516    5678    5505    3674    -         1.8   -1.6   3.2  -
rrn26                -          u7                   -             2629    3030      11     409       4     416    3674    +     3.2e-28   89.9   2.9  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXp1Ds3E/tmpXXXXk04xgG.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXp1Ds3E/tmpXXXXF8jhUG.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam results/organelles/tmp_XXXXp1Ds3E/tmpXXXXk04xgG.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurZibPV
# Date:            Wed Apr  8 02:04:46 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
trnR-ACG             -          u13                  -                8      29    7900    7879    7902    7865      74    -         3.5    9.2   2.5  -
trnI-CAU             -          u13                  -                8      28    7900    7880    7902    7859      74    -         7.6    8.0   2.0  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXp1Ds3E/tmpXXXXjJ5RCG.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXp1Ds3E/tmpXXXXrpomkF.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam results/organelles/tmp_XXXXp1Ds3E/tmpXXXXjJ5RCG.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurZibPV
# Date:            Wed Apr  8 02:04:44 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
trnA-UGC             -          u21                  -               12      49   24635   24599   24645   24580      88    -       0.035   14.0   0.3  -
trnA-UGC             -          u21                  -               12      49   21282   21246   21292   21229      88    -        0.32   10.9   0.5  -
trnW-CCA             -          u21                  -               34      74   12145   12184   12135   12184      74    +         3.1    8.9   2.5  -
rrn26                -          u26                  -              167    3311    4620    1149    4661    1110    3674    -           0 3904.7  19.6  -
rrn26                -          u26                  -              228    2613    1220    4183    1216    4203    3674    +    1.2e-175  581.4   6.1  -
trnfM-CAU            -          u26                  -                1      74     871     798     871     798      74    -     1.1e-20   74.0   0.8  -
trnM-CAU             -          u26                  -                6      83     872     798     877     793      88    -     2.7e-18   66.4   0.5  -
rrn26                -          u26                  -             2766    3168    4238    4576    4227    4599    3674    +       5e-17   54.9   2.4  -
trnS-GGA             -          u26                  -               16      85    7102    7171    7092    7173      87    +     1.5e-14   54.3   0.8  -
trnL-CAA             -          u26                  -                7      75     865     804     869     799      81    -     3.1e-06   28.2   0.1  -
trnI-CAU             -          u26                  -               13      66     859     806     865     799      74    -     7.6e-06   26.5   0.0  -
trnS-CGA             -          u26                  -               23      70     848     800     866     798      72    -     7.8e-05   23.2   0.0  -
rrn18                -          u26                  -              124     159   19516   19481   19521   19465    2142    -     0.00034   11.9   1.0  -
