# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXdrcdE9/tmpXXXXINYpUa.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXdrcdE9/tmpXXXXKyAIa7.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam results/organelles/tmp_XXXXdrcdE9/tmpXXXXINYpUa.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Simpur
# Date:            Wed Apr  8 00:07:33 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn26                -          u8                   -             2069    3030    7629    8765    7608    8785    3674    +     9.8e-67  219.0   2.2  -
rrn18                -          u8                   -              753    1177    4131    4569    4111    4580    2142    +     1.1e-36  118.8   4.8  -
rrn18                -          u8                   -             1483    1682    4684    4889    4657    4909    2142    +       1e-08   25.9   1.3  -
rrn18                -          u8                   -             1807    1849    4995    5037    4983    5058    2142    +     2.3e-06   18.2   1.6  -
rrn26                -          u8                   -              670     738    6042    6111    6018    6153    3674    +     8.6e-06   16.7   7.6  -
rrn18                -          u8                   -              342     603    3559    3816    3556    3819    2142    +       0.018    5.2   6.4  -
rrn26                -          u8                   -             1294    1412    6944    7061    6930    7069    3674    +        0.39    1.3   2.2  -
rrn26                -          u8                   -              931    1083    6540    6692    6530    6703    3674    +         2.8   -1.6   3.2  -
trnK-UUU             -          u9                   -               12      66   92852   92905   92852   92910      73    +       0.071   16.1   2.3  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXdrcdE9/tmpXXXXqV4ur7.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXdrcdE9/tmpXXXXSmXmOa.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam results/organelles/tmp_XXXXdrcdE9/tmpXXXXqV4ur7.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Simpur
# Date:            Wed Apr  8 00:07:23 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXdrcdE9/tmpXXXX0L4xH8.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXdrcdE9/tmpXXXXnYqnra.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam results/organelles/tmp_XXXXdrcdE9/tmpXXXX0L4xH8.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Simpur
# Date:            Wed Apr  8 00:07:30 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn26                -          u18                  -              207    3264   19387   22407   19333   22478    3674    +           0 1634.3  56.8  -
matK                 -          u18                  -                2    1527  137790  139298  137789  139318    1556    +           0 1410.7 135.0  -
rrn18                -          u18                  -               81    1192   15477   16553   15450   16563    2142    +    3.3e-213  707.6  26.5  -
atp1                 -          u18                  -              168    1436  129303  130544  129284  130568    2095    +    4.3e-196  652.3  24.8  -
atpA                 -          u18                  -               15    1014  129321  130293  129302  130300    1021    +    9.8e-113  378.0  20.5  -
rrn18                -          u18                  -             1414    1871   16568   16980   16553   17029    2142    +       5e-83  275.8   6.4  -
rps11                -          u18                  -               76     517   52906   53326   52886   53346     877    +     1.4e-78  265.3   8.5  -
rps7                 -          u18                  -              316     762   12339   11912   12360   11905    1138    -     6.3e-64  215.7  15.9  -
rps2                 -          u18                  -               30     636  123982  124703  123959  124723     997    +       2e-62  210.5  27.0  -
rps12                -          u18                  -              560     796   13237   13001   13237   12981    1079    -     4.7e-61  205.9   2.6  -
rpl16                -          u18                  -              135     555   50705   51098   50685   51115     574    +     5.6e-57  193.3  14.6  -
rpl2                 -          u18                  -             1037    1479   47293   47730   47280   47751    1503    +     7.6e-47  158.5  10.5  -
nad5                 -          u18                  -              419    1078   26127   25477   26148   25457    1994    -     8.9e-37  125.3  41.6  -
rps14                -          u18                  -              181     484  101217  101523  101190  101543     578    +     2.1e-36  126.2  10.3  -
trnS-GGA             -          u18                  -                1      87   92746   92660   92746   92660      87    -     6.9e-28   99.4   2.1  -
nad1                 -          u18                  -               40     526   36616   36056   36638   36033    1154    -     1.4e-27   95.7  28.3  -
trnW-CCA             -          u18                  -                1      74   68215   68288   68215   68288      74    +     1.9e-25   92.1   0.0  -
trnV-GAC             -          u18                  -                2      72   15190   15260   15189   15260      72    +     4.3e-25   91.1   0.6  -
trnN-GUU             -          u18                  -                1      71   23801   23731   23801   23730      72    -     1.7e-23   85.6   1.6  -
trnP-UGG             -          u18                  -               14      99   67950   68031   67932   68043     111    +     6.8e-23   83.2   1.2  -
rpl2                 -          u18                  -              106     348   46229   46512   46208   46534    1503    +     1.9e-22   77.6  12.4  -
trnH-GUG             -          u18                  -                1      74  141724  141797  141724  141797      74    +     3.4e-21   78.0   1.1  -
trnI-GAU             -          u18                  -                1      87   17246   17332   17246   17333      88    +     7.9e-21   77.1   3.2  -
nad4                 -          u18                  -              648    1050   31047   30650   31069   30629    1498    -       1e-20   72.2  16.8  -
trnT-GGU             -          u18                  -                1      72  107966  107895  107966  107895      72    -     4.4e-20   74.5   0.6  -
trnR-ACG             -          u18                  -                2      73   22984   23055   22983   23056      74    +     7.8e-20   73.9   2.8  -
rps4                 -          u18                  -              227     514   91844   92144   91824   92164    1294    +     9.1e-20   68.7  12.9  -
trnL-CAA             -          u18                  -                1      81    8733    8653    8733    8653      81    -       1e-19   73.9   1.2  -
trnP-GGG             -          u18                  -                2      74   67953   68025   67952   68025      74    +     2.7e-19   72.0   1.5  -
trnD-GUC             -          u18                  -                8      80  109537  109609  109532  109610      81    +     6.3e-19   70.9   3.1  -
trnF-GAA             -          u18                  -                2      74   88513   88442   88514   88440      76    -     1.9e-17   66.1   0.6  -
trnS-GCU             -          u18                  -               16     113  132902  132999  132887  133019     122    +     6.5e-17   63.7   2.2  -
trnI-CAU             -          u18                  -                1      74     413     340     413     340      74    -     1.7e-16   63.1   0.5  -
trnR-UCU             -          u18                  -                1      73  131040  130970  131040  130969      74    -     7.8e-15   57.8   1.4  -
trnQ-UUG             -          u18                  -                1      72  134309  134380  134309  134380      72    +     9.9e-15   57.6   3.5  -
trnI-CAU             -          u18                  -               10      74  142269  142205  142270  142205      74    -     2.5e-14   56.1   0.7  -
nad7                 -          u18                  -               40    1180   37742   36605   37762   36600    1185    -     2.8e-14   51.9  43.9  -
nad1                 -          u18                  -              567     726   34904   34733   34924   34712    1154    -     6.5e-14   50.5   9.2  -
trnR-UCG             -          u18                  -                1      73   68215   68287   68215   68288      74    +     1.1e-13   54.2   0.0  -
trnfM-CAU            -          u18                  -                2      73  101690  101761  101689  101762      74    +     1.2e-13   53.9   0.4  -
trnM-CAU             -          u18                  -                5      81  101687  101760  101683  101764      88    +       2e-13   53.2   0.2  -
trnS-CGA             -          u18                  -                2      71     412     341     413     340      72    -     2.7e-13   52.7   0.2  -
trnT-UGU             -          u18                  -                2      71   91229   91299   91228   91300      72    +     1.5e-12   50.5   0.8  -
rps19                -          u18                  -              270     495   47783   48014   47763   48034     688    +     2.3e-12   45.8  21.4  -
trnT-GGU             -          u18                  -                2      71   91229   91299   91228   91300      72    +     6.7e-12   48.3   0.8  -
trnT-GGU             -          u18                  -                2      70   84145   84076   84146   84074      72    -     1.1e-11   47.6   1.6  -
trnS-CGA             -          u18                  -               10      71  142269  142206  142270  142205      72    -     2.3e-11   46.5   0.3  -
trnS-UGA             -          u18                  -                2      86  103647  103737  103646  103738      87    +     5.8e-11   45.7   0.6  -
trnL-CAA             -          u18                  -                1      81     413     340     413     340      81    -       1e-10   45.0   0.3  -
trnC-GCA             -          u18                  -                8      81  112041  111969  112043  111946     120    -     1.3e-10   43.6   1.0  -
trnS-GCU             -          u18                  -               14     109  103639  103739  103632  103751     122    +     2.9e-10   42.1   0.6  -
trnG-UCC             -          u18                  -                1      70  101985  101916  101985  101915      71    -     8.1e-10   42.0   0.1  -
trnT-GGU             -          u18                  -                2      70   23800   23732   23801   23731      72    -     1.7e-09   40.6   1.5  -
trnS-GGA             -          u18                  -                1      86  132907  132993  132907  132994      87    +     2.3e-09   40.1   1.6  -
trnL-CAA             -          u18                  -                9      81  142270  142205  142270  142205      81    -     2.3e-08   37.5   0.4  -
nad2                 -          u18                  -              493     837   11148   10808   11168   10788    1613    -     2.4e-08   31.3   8.3  -
trnA-UGC             -          u18                  -               11      49   18338   18376   18328   18397      88    +     6.5e-08   34.8   1.7  -
trnR-UCU             -          u18                  -                1      70   68215   68284   68215   68287      74    +     1.9e-07   34.2   0.0  -
trnR-UCG             -          u18                  -                3      66   22985   23048   22983   23056      74    +     2.3e-07   34.0   2.1  -
trnY-GUA             -          u18                  -                8      76  108971  109040  108964  109047      83    +     2.5e-07   34.0   0.4  -
cob                  -          u18                  -              319     688   56539   56167   56559   56158    1412    -     5.6e-07   26.7  11.2  -
