# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn26                -          u2                   -             2629    3030    9112    8714    9119    8707    3674    -     5.3e-28   89.9   2.9  -
trnA-UGC             -          u4                   -               11      49   13647   13684   13638   13703      88    +        0.31   10.1   0.5  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXfN9UNN/tmpXXXXw3MEYK.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXfN9UNN/tmpXXXXjAsuzM.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_mito.fam results/organelles/tmp_XXXXfN9UNN/tmpXXXXw3MEYK.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurMK
# Date:            Tue Apr  7 23:32:16 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn26                -          u8                   -             2069    3030    9472    8336    9493    8316    3674    -       1e-66  219.0   2.2  -
rrn18                -          u8                   -              753    1177   12970   12532   12990   12521    2142    -     1.1e-36  118.8   4.8  -
rrn18                -          u8                   -             1483    1682   12417   12212   12444   12192    2142    -     1.1e-08   25.9   1.3  -
rrn18                -          u8                   -             1806    1849   12107   12064   12120   12043    2142    -     2.2e-06   18.3   1.5  -
rrn26                -          u8                   -              670     737   11059   10992   11082   10948    3674    -     9.2e-06   16.6   7.7  -
rrn18                -          u8                   -              342     603   13542   13285   13545   13282    2142    -       0.019    5.2   6.4  -
rrn26                -          u8                   -             1294    1412   10157   10040   10175   10032    3674    -        0.39    1.3   2.2  -
rrn26                -          u8                   -              931    1083   10561   10409   10571   10398    3674    -         2.9   -1.6   3.2  -
rrn26                -          u9                   -              207    3264   90755   87735   90809   87664    3674    -           0 1638.0  56.6  -
matK                 -          u9                   -                2    1527  114240  112732  114241  112712    1556    -           0 1410.7 135.0  -
rrn18                -          u9                   -               81    1192   94665   93589   94692   93579    2142    -    3.3e-213  707.6  26.5  -
atp1                 -          u9                   -              168    1436  122722  121481  122741  121457    2095    -    4.4e-196  652.3  24.8  -
atpA                 -          u9                   -               15    1014  122704  121732  122723  121725    1021    -    9.9e-113  378.0  20.5  -
rrn18                -          u9                   -             1414    1871   93574   93162   93589   93113    2142    -     5.1e-83  275.8   6.4  -
rps11                -          u9                   -               76     517   56659   56239   56679   56219     877    -     1.4e-78  265.3   8.5  -
rps7                 -          u9                   -              316     762   97803   98230   97782   98237    1138    +     6.3e-64  215.7  15.9  -
rps2                 -          u9                   -               30     636  128043  127322  128066  127302     997    -       2e-62  210.5  27.0  -
rps12                -          u9                   -              560     796   96905   97141   96905   97161    1079    +     2.2e-62  210.4   2.3  -
