# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn23                -          u0                   -             1782    2783   12241   11241   12261   11230    2810    -     2.4e-46  154.0   4.4  -
rrn16                -          u0                   -              634    1189     615      36     645      19    1491    -     2.6e-36  121.8   4.8  -
rrn16                -          u0                   -              453     483     961     930    1140     925    1491    -           1    3.8   3.2  -
rrn23                -          u1                   -             1782    2783     921    1921     900    1935    2810    +     1.1e-46  152.7   4.4  -
rrn23                -          u1                   -             1699    1773     688     768     658     788    2810    +     0.00012   13.2   4.2  -
rrn23                -          u1                   -             1073    1173      20     121       2     141    2810    +      0.0039    8.2   2.6  -
rrn23                -          u2                   -             1782    2784     922    1923     901    1938    2810    +     1.9e-46  154.0   4.5  -
rrn23                -          u2                   -             1699    1773     689     769     659     789    2810    +     0.00054   13.2   4.2  -
rrn23                -          u2                   -             1060    1173       8     122       1     142    2810    +       0.016    8.3   2.7  -
rrn16                -          u7                   -              634    1359   10291   11044   10261   11057    1491    +       6e-45  150.3   2.9  -
rrn16                -          u7                   -              454     483    9946    9976    9767    9989    1491    +        0.91    3.8   2.7  -
rrn23                -          u8                   -             1782    2783    9886    8886    9906    8875    2810    -       2e-46  153.9   4.5  -
matK                 -          u9                   -             1058    1382   44894   45212   44889   45232    1515    +     4.6e-59  199.9  55.5  -
trnI-GAU             -          u9                   -               48      66   48337   48355   48331   48359      72    +           3   10.9   0.8  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXLE87j3/tmpXXXXuGcu9Y.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXLE87j3/tmpXXXXonplf2.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXLE87j3/tmpXXXXuGcu9Y.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Og
# Date:            Tue Apr  7 17:55:54 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rpoC2                -          u12                  -                3    4167   21289   17083   21291   17082    4168    -           0 4891.2 179.0  -
rpoB                 -          u12                  -                1    3213   27540   24328   27540   24328    3213    -           0 3965.7 121.3  -
rrn23                -          u12                  -                1    2810  122168  119359  122168  119359    2810    -           0 3692.2  70.1  -
ycf2                 -          u12                  -                5    2555  140644  138151  140648  138149    6869    -           0 3056.9 120.8  -
psaA                 -          u12                  -                1    2253   44238   41986   44238   41986    2253    -           0 2906.5  38.7  -
psaB                 -          u12                  -                1    2205   41960   39756   41960   39756    2205    -           0 2814.2  62.9  -
ycf2                 -          u12                  -             2640    5091  138150  135713  138152  135712    6869    -           0 2716.2 149.1  -
ndhF                 -          u12                  -                1    2223  114959  117175  114959  117195    2235    +           0 2306.1 221.2  -
rpoC1                -          u12                  -              431    2049   23093   21469   23113   21469    2049    -           0 1971.9  56.6  -
rrn16                -          u12                  -                1    1491  126059  124570  126059  124570    1491    -           0 1941.5  35.9  -
psbB                 -          u12                  -                1    1527   80895   82421   80895   82421    1527    +           0 1932.6  47.7  -
atpA                 -          u12                  -                1    1523   11630   10108   11630   10107    1524    -           0 1872.3  40.2  -
atpB                 -          u12                  -                1    1497   58915   57419   58915   57419    1497    -           0 1855.9  23.7  -
psbC                 -          u12                  -                1    1422   35433   36854   35433   36854    1422    +           0 1807.6  32.3  -
ndhD                 -          u12                  -                1    1503  109846  111348  109846  111348    1503    +           0 1751.0 105.6  -
ycf2                 -          u12                  -             5041    6386  135728  134376  135729  134356    6869    -           0 1588.4  33.1  -
matK                 -          u12                  -                2    1514    3047    1541    3048    1540    1515    -           0 1476.2 132.8  -
ndhH                 -          u12                  -                1    1182  103755  104936  103755  104936    1182    +           0 1417.8  51.4  -
psbD                 -          u12                  -                1    1062   34424   35485   34424   35485    1062    +           0 1356.2  43.1  -
psbA                 -          u12                  -                1     965     965       1     965       1    1062    -           0 1237.3  32.9  -
ycf1                 -          u12                  -             2881    5003   99903  101936   99883  101965    5864    +           0 1198.7 318.4  -
rpoA                 -          u12                  -                1    1002   87562   86550   87562   86538    1014    -           0 1162.9  72.3  -
petA                 -          u12                  -                1     963   68216   69178   68216   69178     963    +           0 1157.4  26.6  -
ccsA                 -          u12                  -                1     966  112612  111641  112612  111641     966    -           0 1090.7  81.1  -
ndhB                 -          u12                  -                1     778  129954  130731  129954  130751    1533    +    3.8e-300  999.9  38.1  -
ycf5                 -          u12                  -                1     971  112612  111654  112612  111638     978    -    1.8e-292  973.4  79.8  -
ndhB                 -          u12                  -              775    1533  131411  132169  131391  132169    1533    +    5.1e-290  966.3  36.9  -
atpI                 -          u12                  -                1     744   15893   15150   15893   15150     744    -    9.3e-269  895.5  35.9  -
rps2                 -          u12                  -                1     711   16844   16128   16844   16128     711    -    1.1e-255  852.3  29.4  -
ndhK                 -          u12                  -                1     678   54428   53751   54428   53751     678    -    5.2e-246  820.3  22.8  -
rbcL                 -          u12                  -                2     661   60003   60662   60002   60663     662    +    2.3e-244  814.7   7.3  -
cemA                 -          u12                  -                1     690   67299   67988   67299   67988     690    +    1.7e-237  792.2  51.4  -
petB                 -          u12                  -                4     648   84211   84855   84208   84855     648    +    9.5e-234  779.6  28.9  -
accD                 -          u12                  -              913    1563   63862   64508   63837   64529    1591    +    3.5e-231  771.4  29.1  -
rps4                 -          u12                  -                1     606   49084   48479   49084   48479     606    -    1.9e-220  735.8  25.8  -
rps3                 -          u12                  -                1     656   92326   91671   92326   91670     657    -      7e-219  730.7  52.6  -
ycf1                 -          u12                  -             4847    5805  102253  103215  102241  103236    5864    +    7.8e-197  655.4 134.2  -
ycf4                 -          u12                  -                1     555   65749   66303   65749   66303     555    +    9.9e-193  643.7  36.6  -
pafII                -          u12                  -                1     555   65749   66303   65749   66303     555    +    6.9e-192  640.8  36.6  -
ycf1                 -          u12                  -              113     726   96382   97015   96363   97016    5864    +    7.9e-191  635.4  46.2  -
ndhA                 -          u12                  -                1     565  104938  105502  104938  105515    1092    +    7.8e-190  634.6  34.6  -
ndhA                 -          u12                  -              537    1092  106592  107148  106572  107148    1092    +    5.2e-181  605.4  46.4  -
atbB                 -          u12                  -                1     632   58631   58000   58631   57999     633    -    5.8e-179  598.7  10.3  -
ndhI                 -          u12                  -                1     502  107231  107732  107231  107734     504    +    1.4e-178  596.9  27.5  -
ycf1                 -          u12                  -              667    1602   97008   97896   97005   97907    5864    +      6e-176  586.1  87.8  -
ndhG                 -          u12                  -                1     531  108160  108690  108160  108690     531    +    1.7e-175  586.9  50.6  -
rps7                 -          u12                  -                1     468  129164  129631  129164  129631     468    +    4.1e-174  582.2  18.0  -
petD                 -          u12                  -                7     483   85848   86324   85842   86324     483    +      7e-173  578.1  24.4  -
ndhJ                 -          u12                  -                1     477   53623   53147   53623   53147     477    -    1.1e-171  573.9  13.7  -
ycf68                -          u12                  -                1     478  124150  123666  124150  123658     484    -    1.2e-167  560.6   0.2  -
rpl2                 -          u12                  -              383     826   93671   93230   93691   93230     826    -    8.2e-165  551.6  14.4  -
ycf2                 -          u12                  -             6358    6869  134350  133830  134370  133830    6869    -    2.8e-162  540.0  24.5  -
rpoC1                -          u12                  -                1     442   24301   23860   24301   23840    2049    -    2.7e-149  499.1  23.7  -
rpl2                 -          u12                  -                1     391   94733   94343   94733   94325     826    -    9.5e-147  491.8  13.5  -
atpF                 -          u12                  -              145     555   12111   11701   12131   11701     555    -    5.1e-141  472.8  24.3  -
rps11                -          u12                  -                1     417   88049   87633   88049   87633     417    -    1.8e-140  471.1   6.9  -
atpE                 -          u12                  -                1     401   57422   57022   57422   57021     402    -    1.3e-139  468.1  13.8  -
rps8                 -          u12                  -                1     405   89186   88782   89186   88782     405    -      6e-139  466.2  24.8  -
rpl16                -          u12                  -                7     407   90256   89856   90262   89855     408    -    3.2e-137  460.5  13.4  -
psaB                 -          u12                  -               35    2139   44132   42049   44146   42021    2205    -    7.5e-132  441.3  35.1  -
psaA                 -          u12                  -              105    2111   41928   39913   41948   39893    2253    -    1.5e-131  440.0  51.8  -
rpl14                -          u12                  -                1     369   89721   89353   89721   89353     369    -    6.7e-130  436.0  14.1  -
rpl22                -          u12                  -               34     500   92817   92309   92838   92300     508    -    8.2e-127  426.1  30.0  -
ndhC                 -          u12                  -                1     363   54851   54489   54851   54489     363    -    1.2e-126  425.3  32.9  -
ycf1                 -          u12                  -             1768    2536   98617   99388   98597   99408    5864    +    7.6e-108  360.0  75.7  -
rps14                -          u12                  -                1     303   39627   39325   39627   39325     303    -    6.5e-106  356.8  10.6  -
ycf1                 -          u12                  -             2479    2905   99432   99855   99412   99875    5864    +    5.1e-104  347.2  27.9  -
ndhE                 -          u12                  -                1     305  108916  109220  108916  109221     306    +      1e-102  346.4  29.2  -
rpl23                -          u12                  -                1     282   95033   94752   95033   94752     282    -     5.8e-99  334.1  12.4  -
psbE                 -          u12                  -                1     252   71156   70905   71156   70905     252    -     2.3e-90  305.4  10.0  -
rps12                -          u12                  -              114     346  128304  128536  128284  128548     372    +     2.7e-87  295.7   2.3  -
rps18                -          u12                  -               27     300   75292   75556   75272   75558     306    +     3.2e-87  295.8  19.6  -
ycf15                -          u12                  -               28     383  133828  133447  133851  133418     506    -     3.3e-87  294.9  19.6  -
psaC                 -          u12                  -                1     246  109469  109714  109469  109714     246    +     1.2e-86  293.1   6.7  -
atpH                 -          u12                  -                1     246   13945   13700   13945   13700     246    -     1.6e-86  292.5   9.0  -
accD                 -          u12                  -               10     387   62058   62459   62046   62461    1591    +     3.1e-83  281.0  38.4  -
rps15                -          u12                  -                1     273  103388  103660  103388  103660     273    +     4.2e-82  279.0  33.8  -
pafI                 -          u12                  -              125     355   46249   46019   46269   46011     507    -     2.1e-81  276.1  10.4  -
ycf3                 -          u12                  -              125     356   46249   46018   46269   46010     507    -     7.1e-81  274.5  10.4  -
rps19                -          u12                  -                2     278   93174   92886   93175   92885     279    -     2.4e-80  273.0  25.6  -
accD                 -          u12                  -              675     982   62969   63294   62964   63296    1591    +     7.3e-77  259.9  28.8  -
clpP                 -          u12                  -               66     366   79173   78873   79193   78853     591    -     1.6e-74  253.4   6.0  -
psbH                 -          u12                  -                1     222   83037   83258   83037   83258     222    +       6e-74  251.6  13.5  -
rps16                -          u12                  -               37     266    4964    4735    4968    4734     267    -     3.4e-71  242.8   9.8  -
rpl20                -          u12                  -              112     353   76163   75922   76164   75921     354    -     6.7e-71  241.9  24.1  -
rpl33                -          u12                  -                1     200   73907   74106   73907   74107     201    +     4.5e-62  212.7  12.5  -
lhbA                 -          u12                  -                1     189   37551   37739   37551   37739     189    +     4.2e-57  196.4  27.6  -
ycf9                 -          u12                  -                1     189   37551   37739   37551   37739     189    +     6.2e-57  195.8  27.6  -
infA                 -          u12                  -                2     234   88654   88428   88655   88428     234    -     1.2e-56  195.1  10.0  -
psbZ                 -          u12                  -                1     189   37551   37739   37551   37739     189    +     3.6e-56  193.3  27.6  -
psbK                 -          u12                  -                4     186    6876    7058    6867    7058     186    +     9.2e-56  191.6  24.7  -
