# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXdrcdE9/tmpXXXX8l4xya.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXdrcdE9/tmpXXXXiAFjs6.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXdrcdE9/tmpXXXX8l4xya.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Simpur
# Date:            Wed Apr  8 00:09:09 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn16                -          u8                   -              633    1483    4132    5038    4103    5043    1491    +     3.5e-47  157.9   4.6  -
rrn23                -          u8                   -             1782    2783    7862    8862    7841    8875    2810    +     2.6e-46  153.9   4.5  -
rrn23                -          u8                   -              151     530    5740    6140    5721    6160    2810    +     1.7e-19   65.0  17.1  -
rrn23                -          u8                   -              679    1173    6539    7062    6521    7082    2810    +     3.1e-15   50.8   9.1  -
rrn23                -          u8                   -             1699    1773    7629    7709    7599    7729    2810    +     0.00069   13.2   4.2  -
rrn16                -          u8                   -              453     483    3787    3818    3608    3823    1491    +         1.1    3.8   3.2  -
rpl36                -          u9                   -               66     110    7271    7315    7251    7319     114    +         3.2   11.5   3.1  -
rpl36                -          u9                   -               66     110  106828  106872  106808  106876     114    +         3.2   11.5   3.1  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXdrcdE9/tmpXXXXSE3lW8.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXdrcdE9/tmpXXXXfaDrF8.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXdrcdE9/tmpXXXXSE3lW8.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Simpur
# Date:            Wed Apr  8 00:08:32 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXdrcdE9/tmpXXXXyemb46.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXdrcdE9/tmpXXXXJyiZga.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXdrcdE9/tmpXXXXyemb46.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurGra_Simpur
# Date:            Wed Apr  8 00:08:51 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
trnG-UCC             -          u16                  -               19      47    1578    1606    1570    1610      71    +        0.25   12.1   2.0  -
rpoC2                -          u18                  -                3    4167  119543  123749  119541  123750    4168    +           0 4889.3 178.3  -
rpoB                 -          u18                  -                1    3213  113292  116504  113292  116504    3213    +           0 3965.7 121.3  -
rrn23                -          u18                  -                1    2810   19369   22178   19369   22178    2810    +           0 3689.3  70.3  -
ycf2                 -          u18                  -                5    2555     893    3386     889    3388    6869    +           0 3056.9 120.8  -
psaA                 -          u18                  -                1    2253   96610   98862   96610   98862    2253    +           0 2906.5  38.7  -
psaB                 -          u18                  -                1    2205   98888  101092   98888  101092    2205    +           0 2814.2  62.9  -
ycf2                 -          u18                  -             2640    5094    3387    5827    3385    5828    6869    +           0 2717.8 149.9  -
ndhF                 -          u18                  -                1    2223   26578   24362   26578   24342    2235    -           0 2304.4 222.5  -
rpoC1                -          u18                  -              431    2049  117739  119363  117719  119363    2049    +           0 1971.9  56.6  -
rrn16                -          u18                  -                1    1491   15478   16967   15478   16967    1491    +           0 1941.5  35.9  -
psbB                 -          u18                  -                1    1527   60069   58543   60069   58543    1527    -           0 1932.6  47.7  -
atpA                 -          u18                  -                1    1523  129202  130724  129202  130725    1524    +           0 1872.3  40.2  -
atpB                 -          u18                  -                1    1497   81933   83429   81933   83429    1497    +           0 1855.9  23.7  -
psbC                 -          u18                  -                1    1422  105402  103981  105402  103981    1422    -           0 1807.6  32.3  -
ndhD                 -          u18                  -                1    1503   31690   30188   31690   30188    1503    -           0 1751.0 105.6  -
ycf2                 -          u18                  -             5041    6386    5809    7161    5808    7181    6869    +           0 1590.3  32.8  -
matK                 -          u18                  -                2    1514  137790  139296  137789  139297    1515    +           0 1476.2 132.8  -
ndhH                 -          u18                  -                1    1182   37781   36600   37781   36600    1182    -           0 1417.8  51.4  -
psbA                 -          u18                  -                1    1062  139872  140933  139872  140933    1062    +           0 1367.1  32.8  -
psbD                 -          u18                  -                1    1062  106411  105350  106411  105350    1062    -           0 1356.2  43.1  -
ycf1                 -          u18                  -             2881    5003   41633   39600   41653   39571    5864    -           0 1197.6 318.3  -
rpoA                 -          u18                  -                1    1002   53398   54410   53398   54424    1014    +           0 1163.0  72.2  -
petA                 -          u18                  -                1     963   72615   71653   72615   71653     963    -           0 1157.4  26.6  -
ccsA                 -          u18                  -                1     966   28924   29895   28924   29895     966    +           0 1088.5  80.0  -
ndhB                 -          u18                  -                1     778   11583   10806   11583   10786    1533    -    3.7e-300  999.9  38.1  -
ycf5                 -          u18                  -                1     971   28924   29882   28924   29898     978    +    1.6e-291  970.2  78.8  -
ndhB                 -          u18                  -              775    1533   10126    9368   10146    9368    1533    -    5.1e-290  966.3  36.9  -
atpI                 -          u18                  -                1     744  124939  125682  124939  125682     744    +    9.3e-269  895.5  35.9  -
rps2                 -          u18                  -                1     711  123988  124704  123988  124704     711    +    1.1e-255  852.3  29.4  -
ndhK                 -          u18                  -                1     678   86420   87097   86420   87097     678    +    5.2e-246  820.3  22.8  -
rbcL                 -          u18                  -                2     661   80845   80186   80846   80185     662    -    2.3e-244  814.7   7.3  -
cemA                 -          u18                  -                1     690   73532   72843   73532   72843     690    -    1.7e-237  792.2  51.4  -
petB                 -          u18                  -                4     648   56745   56101   56748   56101     648    -    9.5e-234  779.6  28.9  -
accD                 -          u18                  -              913    1563   76986   76340   77011   76319    1591    -    3.5e-231  771.4  29.1  -
rps4                 -          u18                  -                1     606   91764   92369   91764   92369     606    +    1.9e-220  735.8  25.8  -
rps3                 -          u18                  -                1     656   48634   49289   48634   49290     657    +      7e-219  730.7  52.6  -
ycf1                 -          u18                  -             4847    5805   39283   38321   39295   38301    5864    -    7.3e-197  655.5 134.1  -
ycf4                 -          u18                  -                1     555   75082   74528   75082   74528     555    -    9.9e-193  643.7  36.6  -
pafII                -          u18                  -                1     555   75082   74528   75082   74528     555    -    6.8e-192  640.8  36.6  -
ycf1                 -          u18                  -              113     726   45154   44521   45173   44520    5864    -    7.9e-191  635.4  46.2  -
ndhA                 -          u18                  -                1     565   36598   36034   36598   36021    1092    -    7.8e-190  634.6  34.6  -
ndhA                 -          u18                  -              537    1092   34944   34388   34964   34388    1092    -    5.2e-181  605.4  46.4  -
atbB                 -          u18                  -                1     632   82217   82848   82217   82849     633    +    5.8e-179  598.7  10.3  -
ndhI                 -          u18                  -                1     502   34305   33804   34305   33802     504    -    1.4e-178  596.9  27.5  -
ndhG                 -          u18                  -                1     531   33376   32846   33376   32846     531    -    1.7e-175  586.9  50.6  -
