# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn23                -          u2                   -             2283    2784    9111    8616    9120    8601    2810    -     1.8e-28   94.2   2.3  -
trnG-GCC             -          u5                   -               22      43   13152   13131   13167   13116      71    -         1.7   10.6   3.2  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXfN9UNN/tmpXXXX6DYwHJ.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXfN9UNN/tmpXXXX1dCvJL.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXfN9UNN/tmpXXXX6DYwHJ.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurMK
# Date:            Tue Apr  7 23:32:50 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn16                -          u8                   -              633    1483   12969   12063   12998   12057    1491    -     3.8e-47  157.9   4.6  -
rrn23                -          u8                   -             1782    2783    9239    8239    9260    8227    2810    -     2.4e-46  154.1   4.4  -
rrn23                -          u8                   -              151     530   11361   10961   11381   10941    2810    -     2.7e-19   64.3  17.6  -
rrn23                -          u8                   -              679    1173   10562   10039   10580   10019    2810    -     4.9e-15   50.2   9.4  -
rrn23                -          u8                   -             1699    1768    9472    9397    9502    9377    2810    -      0.0011   12.5   3.6  -
rrn16                -          u8                   -              453     483   13314   13283   13494   13274    1491    -         1.1    3.9   3.1  -
rpoC2                -          u9                   -                3    4167  132482  128276  132484  128275    4168    -           0 4891.2 179.0  -
rpoB                 -          u9                   -                1    3213  138733  135521  138733  135521    3213    -           0 3965.7 121.3  -
rrn23                -          u9                   -                1    2810   90773   87964   90773   87964    2810    -           0 3692.2  70.1  -
ycf2                 -          u9                   -                5    2555  109249  106756  109253  106754    6869    -           0 3056.9 120.8  -
psaA                 -          u9                   -                1    2253   12843   10591   12843   10591    2253    -           0 2906.5  38.7  -
psaB                 -          u9                   -                1    2205   10565    8361   10565    8361    2205    -           0 2814.2  62.9  -
ycf2                 -          u9                   -             2640    5091  106755  104318  106757  104317    6869    -           0 2716.2 149.1  -
ndhF                 -          u9                   -                1    2223   83564   85780   83564   85800    2235    +           0 2306.1 221.2  -
rpoC1                -          u9                   -              431    2049  134286  132662  134306  132662    2049    -           0 1971.9  56.6  -
rrn16                -          u9                   -                1    1491   94664   93175   94664   93175    1491    -           0 1941.5  35.9  -
psbB                 -          u9                   -                1    1527   49500   51026   49500   51026    1527    +           0 1932.6  47.7  -
atpA                 -          u9                   -                1    1523  122823  121301  122823  121300    1524    -           0 1872.3  40.2  -
atpB                 -          u9                   -                1    1497   27520   26024   27520   26024    1497    -           0 1855.9  23.7  -
psbC                 -          u9                   -                1    1422    4038    5459    4038    5459    1422    +           0 1807.6  32.3  -
ndhD                 -          u9                   -                1    1503   78451   79953   78451   79953    1503    +           0 1751.0 105.6  -
ycf2                 -          u9                   -             5041    6386  104333  102981  104334  102961    6869    -           0 1588.4  33.1  -
matK                 -          u9                   -                2    1514  114240  112734  114241  112733    1515    -           0 1476.2 132.8  -
ndhH                 -          u9                   -                1    1182   72360   73541   72360   73541    1182    +           0 1417.8  51.4  -
psbA                 -          u9                   -                1    1062  112158  111097  112158  111097    1062    -           0 1367.1  32.8  -
