# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn18                -          u0                   -              753    1177     624     186     644     175    2142    -     8.8e-37  118.8   4.8  -
rrn26                -          u0                   -             2629    3030   10909   10511   10916   10504    3674    -     6.4e-28   89.9   2.9  -
rrn18                -          u0                   -              342     603    1196     939    1199     936    2142    -       0.015    5.2   6.4  -
rrn26                -          u1                   -             2629    3030      11     409       4     416    3674    +     4.5e-28   89.9   2.9  -
rrn26                -          u3                   -             2069    3030     689    1825     668    1845    3674    +     3.7e-67  220.1   2.0  -
rrn26                -          u3                   -             1296    1412       6     121       2     129    3674    +        0.42    0.8   2.5  -
rrn26                -          u4                   -             2160    3030   10969   10066   10989   10059    3674    -     6.5e-60  196.1   4.3  -
rrn26                -          u7                   -             2069    3030    5351    4215    5372    4195    3674    -     8.8e-67  219.2   2.0  -
rrn18                -          u7                   -              753    1177    8849    8411    8869    8400    2142    -     1.1e-36  118.8   4.8  -
rrn18                -          u7                   -             1483    1682    8296    8091    8323    8071    2142    -     1.1e-08   25.9   1.3  -
rrn18                -          u7                   -             1806    1849    7986    7943    7998    7922    2142    -     2.4e-06   18.2   1.6  -
rrn26                -          u7                   -              669     737    6939    6871    6963    6829    3674    -     9.5e-06   16.6   7.7  -
rrn18                -          u7                   -              342     603    9421    9164    9424    9161    2142    -       0.019    5.2   6.4  -
rrn26                -          u7                   -             1294    1412    6036    5919    6050    5911    3674    -        0.41    1.3   2.2  -
rrn26                -          u7                   -              931    1083    6440    6288    6450    6277    3674    -           3   -1.6   3.2  -
rrn26                -          u8                   -              207    3269   19370   22395   19316   22483    3674    +           0 1637.8  55.8  -
matK                 -          u8                   -                2    1527  138629  140137  138628  140157    1556    +           0 1409.6 135.3  -
rrn18                -          u8                   -               81    1192   15465   16541   15440   16551    2142    +    3.9e-213  707.4  26.7  -
atp1                 -          u8                   -              168    1435  129994  131234  129977  131255    2095    +    1.5e-196  653.9  24.2  -
atpA                 -          u8                   -               15    1014  130012  130984  129993  130991    1021    +    8.1e-113  378.3  20.0  -
rrn18                -          u8                   -             1415    1864   16557   16961   16542   16990    2142    +     2.9e-83  276.6   6.4  -
rps11                -          u8                   -               76     517   53242   53662   53222   53682     877    +     1.2e-76  258.9   8.4  -
rps7                 -          u8                   -              316     762   12337   11910   12358   11903    1138    -     6.3e-64  215.7  15.9  -
rps12                -          u8                   -              560     796   13235   12999   13235   12979    1079    -     2.2e-62  210.4   2.3  -
rps2                 -          u8                   -               30     636  124693  125414  124670  125434     997    +     8.5e-61  205.2  25.9  -
rpl16                -          u8                   -              135     555   51040   51433   51020   51450     574    +     5.6e-57  193.3  14.6  -
rpl2                 -          u8                   -             1037    1479   47614   48051   47601   48072    1503    +     7.6e-47  158.5  10.5  -
nad5                 -          u8                   -              419    1078   26101   25451   26122   25431    1994    -     8.9e-37  125.3  41.6  -
rps14                -          u8                   -              181     484  101959  102265  101932  102285     578    +     2.1e-36  126.2  10.3  -
trnS-GGA             -          u8                   -                1      87   93421   93335   93421   93335      87    -       7e-28   99.4   2.1  -
nad1                 -          u8                   -               40     526   36592   36032   36614   36009    1154    -     1.4e-27   95.7  28.3  -
trnW-CCA             -          u8                   -                1      74   68649   68722   68649   68722      74    +     1.9e-25   92.1   0.0  -
trnV-GAC             -          u8                   -                2      72   15178   15248   15177   15248      72    +     4.4e-25   91.1   0.6  -
trnN-GUU             -          u8                   -                1      71   23764   23694   23764   23693      72    -     1.7e-23   85.6   1.6  -
trnP-UGG             -          u8                   -               14      99   68384   68465   68366   68477     111    +     6.8e-23   83.2   1.2  -
rpl2                 -          u8                   -              106     348   46550   46833   46529   46855    1503    +     1.9e-22   77.6  12.4  -
trnH-GUG             -          u8                   -                1      74  142787  142860  142787  142860      74    +     3.4e-21   78.0   1.1  -
trnI-GAU             -          u8                   -                1      87   17234   17320   17234   17321      88    +     7.9e-21   77.1   3.2  -
nad4                 -          u8                   -              648    1050   31026   30629   31048   30608    1498    -     1.1e-20   72.1  17.4  -
trnT-GGU             -          u8                   -                1      72  108629  108558  108629  108558      72    -     4.5e-20   74.5   0.6  -
trnR-ACG             -          u8                   -                2      73   22970   23041   22969   23042      74    +     7.8e-20   73.9   2.8  -
rps4                 -          u8                   -              227     514   92519   92819   92499   92839    1294    +     9.2e-20   68.7  12.9  -
trnL-CAA             -          u8                   -                1      81    8731    8651    8731    8651      81    -       1e-19   73.9   1.2  -
trnP-GGG             -          u8                   -                2      74   68387   68459   68386   68459      74    +     2.7e-19   72.0   1.5  -
trnD-GUC             -          u8                   -                8      80  110230  110302  110225  110303      81    +     6.3e-19   70.9   3.1  -
trnF-GAA             -          u8                   -                2      74   89040   88969   89041   88967      76    -     1.9e-17   66.1   0.6  -
trnS-GCU             -          u8                   -               16     113  133652  133749  133637  133769     122    +     6.5e-17   63.7   2.2  -
trnI-CAU             -          u8                   -                1      74     305     232     305     232      74    -     1.7e-16   63.1   0.5  -
trnR-UCU             -          u8                   -                1      73  131751  131681  131751  131680      74    -     7.9e-15   57.8   1.4  -
trnQ-UUG             -          u8                   -                1      72  135022  135093  135022  135093      72    +     9.9e-15   57.6   3.5  -
