# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn23                -          u0                   -             2283    2784      12     507       3     520    2810    +     3.7e-28   93.0   2.3  -
rrn23                -          u1                   -             1782    2783    6957    5957    6978    5946    2810    -     1.4e-46  154.1   4.2  -
rrn23                -          u1                   -             1028    1172    7910    7758    7931    7738    2810    -      0.0053    9.5   3.5  -
rrn23                -          u1                   -             1700    1748    7189    7141    7220    7120    2810    -       0.022    7.5   3.3  -
rrn23                -          u2                   -             1782    2783   13594   12594   13615   12580    2810    -       4e-46  153.5   4.2  -
rrn23                -          u2                   -             1028    1172   14547   14395   14568   14375    2810    -      0.0097    9.5   3.5  -
rrn23                -          u2                   -             1700    1748   13826   13778   13857   13757    2810    -        0.04    7.5   3.3  -
rrn23                -          u3                   -             2283    2784      12     507       3     520    2810    +     4.8e-28   93.0   2.3  -
rpoC2                -          u6                   -                3    4167   22901   18695   22903   18694    4168    -           0 4881.5 181.2  -
rpoB                 -          u6                   -                1    3213   29151   25939   29151   25939    3213    -           0 3952.2 124.4  -
psaA                 -          u6                   -                1    2253   45652   43400   45652   43400    2253    -           0 2904.4  39.1  -
psaB                 -          u6                   -                1    2205   43374   41170   43374   41170    2205    -           0 2813.8  62.7  -
rpoC1                -          u6                   -              431    2049   24705   23081   24725   23081    2049    -           0 1964.7  60.7  -
psbB                 -          u6                   -                1    1527   82207   83733   82207   83733    1527    +           0 1932.6  47.7  -
atpA                 -          u6                   -                1    1523   13401   11879   13401   11878    1524    -           0 1869.1  41.0  -
atpB                 -          u6                   -                1    1497   61118   59622   61118   59622    1497    -           0 1860.4  23.5  -
psbC                 -          u6                   -                1    1422   37152   38573   37152   38573    1422    +           0 1803.0  32.0  -
matK                 -          u6                   -                2    1514    4763    3257    4764    3256    1515    -           0 1479.5 128.2  -
psbA                 -          u6                   -                1    1062    2558    1497    2558    1497    1062    -           0 1365.3  32.7  -
psbD                 -          u6                   -                1    1062   36143   37204   36143   37204    1062    +           0 1359.2  42.3  -
rpoA                 -          u6                   -                1    1002   88857   87845   88857   87834    1014    -           0 1160.5  71.0  -
petA                 -          u6                   -                1     963   70559   71521   70559   71521     963    +           0 1157.2  27.1  -
atpI                 -          u6                   -                1     744   17521   16778   17521   16778     744    -    3.2e-269  896.4  36.3  -
rps2                 -          u6                   -                1     711   18453   17737   18453   17737     711    -    1.8e-252  841.2  29.5  -
ndhK                 -          u6                   -                1     678   56325   55648   56325   55648     678    -      9e-247  822.2  23.4  -
rbcL                 -          u6                   -                2     661   62313   62972   62312   62973     662    +    5.6e-245  816.1   6.7  -
cemA                 -          u6                   -                1     690   69631   70320   69631   70320     690    +    8.8e-237  789.2  53.8  -
petB                 -          u6                   -                4     648   85520   86164   85517   86164     648    +      6e-234  779.7  28.7  -
accD                 -          u6                   -              939    1563   66135   66759   66114   66780    1591    +    7.5e-227  756.5  29.6  -
rps4                 -          u6                   -                1     606   50348   49743   50348   49743     606    -    3.3e-221  737.8  26.4  -
rps3                 -          u6                   -                1     656   93575   92920   93575   92919     657    -      2e-217  725.4  52.2  -
ycf4                 -          u6                   -                1     555   68004   68558   68004   68558     555    +    3.6e-193  644.6  35.3  -
pafII                -          u6                   -                1     555   68004   68558   68004   68558     555    +    2.4e-192  641.7  35.3  -
atbB                 -          u6                   -                1     632   60834   60203   60834   60202     633    -    3.4e-178  595.6  10.6  -
petD                 -          u6                   -                7     483   87151   87627   87145   87627     483    +    1.3e-172  576.6  23.0  -
ndhJ                 -          u6                   -                1     477   55520   55044   55520   55044     477    -    7.5e-172  573.9  13.7  -
rpl2                 -          u6                   -              383     826   94931   94490   94951   94490     826    -    5.2e-166  555.0  13.6  -
rpoC1                -          u6                   -                1     442   25912   25471   25912   25451    2049    -    2.2e-149  498.9  23.9  -
rpl2                 -          u6                   -                2     391   96001   95612   96001   95594     826    -    1.4e-146  490.6  13.3  -
atpF                 -          u6                   -              145     555   13883   13473   13903   13473     555    -    1.2e-141  474.3  25.0  -
rps11                -          u6                   -                1     417   89344   88928   89344   88928     417    -    6.5e-139  465.4   7.1  -
atpE                 -          u6                   -                1     401   59625   59225   59625   59224     402    -    1.9e-138  463.7  15.0  -
rps8                 -          u6                   -                1     405   90482   90078   90482   90078     405    -    8.5e-138  461.8  27.0  -
rpl16                -          u6                   -                7     407   91548   91148   91554   91147     408    -    1.3e-135  454.6  14.5  -
psaB                 -          u6                   -               35    2139   45546   43463   45561   43435    2205    -    3.7e-132  441.8  35.4  -
psaA                 -          u6                   -              105    2111   43342   41327   43362   41307    2253    -    1.7e-131  439.2  51.7  -
rpl14                -          u6                   -                1     369   91015   90647   91015   90647     369    -    4.5e-131  439.3  13.6  -
rpl22                -          u6                   -               34     500   94066   93558   94087   93549     508    -    2.5e-126  424.0  29.4  -
ndhC                 -          u6                   -                1     363   56748   56386   56748   56386     363    -    2.6e-126  423.7  33.5  -
accD                 -          u6                   -              465     982   64881   65434   64879   65441    1591    +    9.7e-118  394.8  55.8  -
rps14                -          u6                   -                1     303   41041   40739   41041   40739     303    -    1.2e-105  355.4  10.8  -
rps18                -          u6                   -               27     300   77452   77725   77436   77727     306    +     1.3e-91  309.7  19.8  -
psbE                 -          u6                   -                1     252   73425   73174   73425   73174     252    -     1.7e-91  308.6   9.7  -
atpH                 -          u6                   -                1     246   15578   15333   15578   15333     246    -     5.6e-86  290.2   8.5  -
pafI                 -          u6                   -              125     355   47722   47492   47742   47483     507    -     1.5e-81  276.1  10.4  -
ycf3                 -          u6                   -              125     356   47722   47491   47742   47483     507    -     4.8e-81  274.5  10.4  -
rps19                -          u6                   -                2     278   94431   94143   94432   94142     279    -     6.8e-77  261.1  29.1  -
clpP                 -          u6                   -               66     366   80703   80403   80723   80383     591    -     1.5e-76  259.6   9.0  -
psbH                 -          u6                   -                1     222   84346   84567   84346   84567     222    +     3.2e-73  248.6  12.4  -
rps16                -          u6                   -               37     266    6660    6431    6664    6430     267    -     6.3e-72  244.6  10.5  -
rpl20                -          u6                   -              112     353   78404   78163   78405   78162     354    -     8.8e-70  237.7  23.1  -
rpl33                -          u6                   -                1     200   76190   76389   76190   76390     201    +     5.4e-63  215.1  12.2  -
infA                 -          u6                   -                2     234   89949   89723   89950   89723     234    -     1.8e-57  197.3   9.5  -
lhbA                 -          u6                   -                1     189   39312   39500   39312   39500     189    +     2.8e-57  196.4  27.6  -
ycf9                 -          u6                   -                1     189   39312   39500   39312   39500     189    +     4.2e-57  195.8  27.6  -
psbZ                 -          u6                   -                1     189   39312   39500   39312   39500     189    +     2.4e-56  193.3  27.6  -
psbK                 -          u6                   -                4     186    8571    8753    8562    8753     186    +     3.9e-55  188.9  25.9  -
accD                 -          u6                   -              139     386   64612   64883   64609   64884    1591    +     4.7e-52  177.1  23.2  -
ycf3                 -          u6                   -              352     506   46719   46565   46738   46564     507    -     3.3e-51  176.0   2.8  -
pafI                 -          u6                   -              352     506   46719   46565   46738   46564     507    -     6.9e-51  174.9   2.8  -
atpF                 -          u6                   -                1     145   14852   14708   14852   14687     555    -     6.4e-50  171.4   6.7  -
pbf1                 -          u6                   -                1     131   84220   84090   84220   84089     132    -     2.7e-44  153.3   2.1  -
psbN                 -          u6                   -                1     131   84220   84090   84220   84089     132    -       2e-43  150.6   2.1  -
psbF                 -          u6                   -                1     120   73164   73045   73164   73045     120    -     4.5e-42  145.9   2.4  -
psaJ                 -          u6                   -                1     135   75527   75661   75527   75661     135    +     3.7e-40  140.2   7.8  -
ycf3                 -          u6                   -                1     128   48895   48768   48895   48747     507    -       8e-40  138.4   9.0  -
pafI                 -          u6                   -                1     126   48895   48770   48895   48748     507    -     6.5e-39  135.4   9.1  -
psbJ                 -          u6                   -                1     122   72762   72641   72762   72640     123    -     2.5e-38  134.0   9.7  -
psbL                 -          u6                   -                1     116   73018   72903   73018   72902     117    -     4.3e-38  133.2  10.8  -
petG                 -          u6                   -                1     114   74558   74671   74558   74671     114    +     2.2e-36  127.9   9.2  -
accD                 -          u6                   -               10     190   64381   64561   64369   64562    1591    +     9.3e-36  123.1  14.3  -
rpl36                -          u6                   -                1     113   89606   89494   89606   89493     114    -     2.2e-34  121.3   6.4  -
rps12                -          u6                   -                1     114   79313   79200   79313   79180     372    -     5.6e-34  119.6   1.8  -
psbT                 -          u6                   -                1     108   83916   84023   83916   84023     108    +     1.9e-32  115.0   9.4  -
clpP                 -          u6                   -              363     582   79762   79543   79778   79534     591    -       1e-30  108.2  17.5  -
psbM                 -          u6                   -                1     105   32323   32219   32323   32219     105    -     7.3e-30  106.7   8.5  -
trnS-UGA             -          u6                   -                1      93   38925   38833   38925   38833      93    -     8.2e-30  106.0   0.5  -
trnY-GUA             -          u6                   -                1      84   33483   33400   33483   33400      84    -     1.1e-28  102.8   1.1  -
petN                 -          u6                   -                1      90   31175   31264   31175   31264      90    +     1.8e-28  101.8   5.6  -
trnS-GGA             -          u6                   -                1      87   49366   49452   49366   49452      87    +     2.2e-28  101.4   2.1  -
trnS-GCU             -          u6                   -                1      87    9541    9455    9541    9454      88    -     2.3e-28  101.4   1.7  -
petL                 -          u6                   -                1      96   74285   74380   74285   74380      96    +       1e-27   99.8   9.0  -
trnI-CAU             -          u6                   -                1      74     322     395     322     395      74    +     4.2e-26   94.3   0.3  -
trnH-GUG             -          u6                   -                1      75     772     698     772     698      75    -     4.7e-26   94.2   1.4  -
psaI                 -          u6                   -               15     111   67475   67571   67461   67571     111    +       5e-26   94.4  11.6  -
trnP-UGG             -          u6                   -                1      74   75162   75089   75162   75089      74    -       1e-25   93.1   1.4  -
trnT-UGU             -          u6                   -                1      73   50888   50816   50888   50816      73    -     1.3e-25   92.6   1.0  -
ycf6                 -          u6                   -                2      83   31183   31264   31182   31264      83    +       2e-25   91.9   5.0  -
trnT-GGU             -          u6                   -                1      72   34545   34616   34545   34616      72    +     2.3e-25   92.2   0.5  -
trnD-GUC             -          u6                   -                1      74   32907   32834   32907   32834      74    -     2.4e-25   91.6   3.0  -
trnM-CAU             -          u6                   -                1      73   58910   58982   58910   58982      73    +     2.7e-25   91.6   2.0  -
trnW-CCA             -          u6                   -                1      74   74899   74826   74899   74826      74    -     3.6e-25   91.5   0.0  -
trnR-UCU             -          u6                   -                1      72   11461   11532   11461   11532      72    +     3.6e-25   91.3   1.3  -
psbI                 -          u6                   -                1     111    9260    9379    9260    9379     111    +     5.1e-25   91.1   4.6  -
trnG-GCC             -          u6                   -                1      71   40283   40353   40283   40353      71    +     1.8e-24   89.4   0.1  -
trnE-UUC             -          u6                   -                1      73   33615   33543   33615   33543      73    -     2.8e-24   88.4   2.7  -
trnF-GAA             -          u6                   -                1      72   54123   54194   54123   54195      73    +     2.3e-23   86.2   0.5  -
pdbZ                 -          u6                   -                1     187   39312   39498   39312   39500     189    +     8.6e-23   83.8  27.6  -
psbD                 -          u6                   -              374     885    2185    1665    2205    1645    1062    -     1.5e-22   79.8  12.8  -
trnQ-UUG             -          u6                   -                1      72    8218    8147    8218    8147      72    -     1.3e-21   79.7   3.7  -
trnfM-CAU            -          u6                   -                1      74   40573   40500   40573   40500      74    -     3.6e-21   78.6   0.4  -
trnC-GCA             -          u6                   -                1      71   30409   30480   30409   30480      71    +     7.8e-21   77.6   2.4  -
psal                 -          u6                   -               17     110   67477   67570   67463   67571     111    +     4.1e-20   75.0  11.2  -
psbA                 -          u6                   -              416     895   36558   37028   36538   37048    1062    +     2.4e-19   69.2  22.1  -
trnP-GGG             -          u6                   -                2      72   75161   75091   75161   75089      74    -     2.7e-18   69.4   1.6  -
trnS-CGA             -          u6                   -               32      91   11191   11250   11170   11251      92    +     5.2e-17   65.4   2.1  -
trnG-UCC             -          u6                   -               21      71   11200   11250   11194   11250      71    +     5.8e-14   55.8   2.9  -
trnL-UAA             -          u6                   -               36      85   53685   53734   53665   53734      85    +       4e-13   52.7   0.6  -
trnS-GCU             -          u6                   -                1      88   49366   49452   49366   49452      88    +       5e-12   49.1   2.1  -
rps18                -          u6                   -              238     306   77783   77851   77782   77851     306    +     1.4e-11   46.6   8.0  -
trnS-GGA             -          u6                   -                1      86    9541    9455    9541    9454      87    -     1.1e-10   44.7   1.6  -
rps18                -          u6                   -              238     300   77723   77785   77722   77786     306    +     1.2e-10   43.6   4.8  -
rps16                -          u6                   -                1      48    7577    7530    7577    7513     267    -     1.4e-10   43.4   2.5  -
trnK-UUU             -          u6                   -                1      45    5526    5480    5526    5473      72    -     5.8e-10   42.7   0.3  -
trnV-UAC             -          u6                   -                1      40   58715   58676   58715   58660      76    -     6.3e-10   42.5   0.0  -
trnV-UAC             -          u6                   -               35      76   58076   58038   58096   58038      76    -     1.5e-09   41.3   0.0  -
clpP                 -          u6                   -                1      80   81668   81590   81668   81572     591    -       4e-09   36.9   3.8  -
trnP-GGG             -          u6                   -                2      70   40570   40504   40573   40500      74    -     1.4e-08   38.2   0.3  -
trnM-CAU             -          u6                   -                5      66   34549   34609   34545   34615      73    +     5.6e-08   36.1   0.5  -
trnS-GCU             -          u6                   -                1      87   38925   38834   38925   38833      88    -     6.1e-08   36.0   0.6  -
pbsA                 -          u6                   -                1      74    1571    1498    1571    1497      75    -     7.4e-08   35.9   2.8  -
