# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rrn23                -          u14                  -             2283    2784      12     507       3     522    2810    +     1.3e-28   94.2   2.3  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXYF7Ysf/tmpXXXX92EbIi.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXYF7Ysf/tmpXXXXFUoHgf.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXYF7Ysf/tmpXXXX92EbIi.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurOxl
# Date:            Wed Apr  8 00:57:58 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
ycf1                 -          u25                  -             4439    4600   22042   21881   22062   21860    5864    -         2.3    0.9  22.2  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXYF7Ysf/tmpXXXXPmRUqj.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXYF7Ysf/tmpXXXXdtRdrf.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXYF7Ysf/tmpXXXXPmRUqj.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurOxl
# Date:            Wed Apr  8 00:57:03 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
trnM-CAU             -          u44                  -               27      61    3802    3850    3782    3859      73    +         2.5    7.2   2.5  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXYF7Ysf/tmpXXXXAt8NLh.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXYF7Ysf/tmpXXXXDplWmh.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXYF7Ysf/tmpXXXXAt8NLh.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurOxl
# Date:            Wed Apr  8 00:57:31 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
ycf9                 -          u53                  -               24      63    1302    1346    1282    1366     189    +        0.47    9.2   5.8  -
#
# Program:         nhmmscan
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SCAN
# Query file:      results/organelles/tmp_XXXXYF7Ysf/tmpXXXXH5pqWi.fa
# Target file:     /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam
# Option settings: nhmmscan -o /dev/null --tblout results/organelles/tmp_XXXXYF7Ysf/tmpXXXXQuPjjg.out --noali --cpu 1 /home/proj_202504p2_BD-MED/abner/tools/OatkDB-1.0/v20230921/embryophyta_pltd.fam results/organelles/tmp_XXXXYF7Ysf/tmpXXXXH5pqWi.fa 
# Current dir:     /home/proj_202504p2_BD-MED/abner/durio/assembly/DurOxl
# Date:            Wed Apr  8 00:57:15 2026
# [ok]
# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
rpoC2                -          u58                  -                3    4167  129773  125567  129775  125566    4168    -           0 4891.6 180.8  -
rpoB                 -          u58                  -                1    3213  136023  132811  136023  132811    3213    -           0 3963.6 120.9  -
rrn23                -          u58                  -                1    2810   88149   85340   88149   85340    2810    -           0 3690.6  70.4  -
ycf2                 -          u58                  -                5    2555  106646  104153  106650  104151    6869    -           0 3051.3 119.9  -
psaA                 -          u58                  -                1    2253   10983    8731   10983    8731    2253    -           0 2906.8  38.2  -
psaB                 -          u58                  -                1    2205    8705    6501    8705    6501    2205    -           0 2814.2  62.9  -
ycf2                 -          u58                  -             2640    5091  104152  101715  104154  101714    6869    -           0 2709.8 147.3  -
ndhF                 -          u58                  -                1    2223   64220   62004   64220   61984    2235    -           0 2303.0 222.3  -
rpoC1                -          u58                  -              431    2049  131577  129953  131597  129953    2049    -           0 1971.4  56.6  -
rrn16                -          u58                  -                1    1491   92033   90543   92033   90543    1491    -           0 1943.5  35.8  -
psbB                 -          u58                  -                1    1527   47330   48856   47330   48856    1527    +           0 1929.7  48.1  -
atpA                 -          u58                  -                1    1523  120131  118609  120131  118608    1524    -           0 1870.6  40.6  -
atpB                 -          u58                  -                1    1497   25650   24154   25650   24154    1497    -           0 1858.2  23.9  -
psbC                 -          u58                  -                1    1422    2019    3440    2019    3440    1422    +           0 1805.1  32.9  -
ndhD                 -          u58                  -                1    1503   69314   67812   69314   67812    1503    -           0 1750.1 104.6  -
ycf2                 -          u58                  -             5038    6386  101733  100378  101734  100358    6869    -           0 1590.1  33.5  -
matK                 -          u58                  -                2    1514  111607  110101  111608  110100    1515    -           0 1474.7 133.0  -
ndhH                 -          u58                  -                1    1182   75400   74219   75400   74219    1182    -           0 1419.5  52.3  -
psbA                 -          u58                  -                1    1062  109472  108411  109472  108411    1062    -           0 1367.1  32.8  -
psbD                 -          u58                  -                1    1062    1010    2071    1010    2071    1062    +           0 1355.0  43.1  -
ycf1                 -          u58                  -             2881    5009   79195   77126   79215   77104    5864    -           0 1205.3 333.4  -
rpoA                 -          u58                  -                1    1002   53993   52981   53993   52970    1014    -           0 1166.1  71.1  -
petA                 -          u58                  -                1     963   35069   36031   35069   36031     963    +           0 1157.4  26.6  -
ccsA                 -          u58                  -                1     966   66549   67520   66549   67520     966    +           0 1094.5  79.9  -
ndhB                 -          u58                  -                1     778   95956   96733   95956   96753    1533    +    1.3e-300 1001.5  39.0  -
ycf5                 -          u58                  -                1     971   66549   67507   66549   67523     978    +    5.9e-294  978.3  78.7  -
ndhB                 -          u58                  -              775    1533   97413   98171   97393   98171    1533    +      2e-290  967.7  37.6  -
atpI                 -          u58                  -                1     744  124392  123649  124392  123649     744    -    1.2e-268  895.1  36.7  -
rps2                 -          u58                  -                1     711  125326  124610  125326  124610     711    -    1.1e-255  852.3  29.4  -
ndhK                 -          u58                  -                1     678   21190   20513   21190   20513     678    -    5.2e-246  820.3  22.8  -
rbcL                 -          u58                  -                2     661   26716   27375   26715   27376     662    +    1.6e-244  815.2   7.7  -
cemA                 -          u58                  -                1     690   34151   34840   34151   34840     690    +    2.1e-238  795.1  50.5  -
petB                 -          u58                  -                4     648   50649   51293   50646   51293     648    +    9.5e-234  779.6  28.9  -
accD                 -          u58                  -              929    1563   30723   31354   30700   31375    1591    +    2.7e-229  765.2  29.2  -
rps4                 -          u58                  -                1     606   15848   15243   15848   15243     606    -    4.9e-221  737.8  26.4  -
rps3                 -          u58                  -                1     656   58757   58102   58757   58101     657    -    1.6e-215  719.6  54.6  -
ycf1                 -          u58                  -             4838    5805   76893   75940   76914   75919    5864    -    8.9e-193  641.9 139.5  -
ycf4                 -          u58                  -                1     555   32595   33149   32595   33149     555    +    9.9e-193  643.7  36.6  -
pafII                -          u58                  -                1     555   32595   33149   32595   33149     555    +    6.8e-192  640.8  36.6  -
ycf1                 -          u58                  -              113     711   82497   81875   82512   81869    5864    -    1.4e-190  634.7  41.6  -
ndhA                 -          u58                  -                1     565   74217   73653   74217   73638    1092    -    8.6e-190  634.5  34.8  -
ndhA                 -          u58                  -              537    1092   72563   72007   72583   72007    1092    -    3.7e-182  609.2  45.3  -
atbB                 -          u58                  -                1     632   25366   24735   25366   24734     633    -    5.8e-179  598.7  10.3  -
ndhI                 -          u58                  -                1     502   71924   71423   71924   71421     504    -    1.4e-178  596.9  27.5  -
ndhG                 -          u58                  -                1     531   70999   70469   70999   70469     531    -    1.7e-175  586.9  50.6  -
rps7                 -          u58                  -                1     468   95166   95633   95166   95633     468    +    4.3e-173  578.8  18.2  -
petD                 -          u58                  -                7     483   52281   52757   52275   52757     483    +      7e-173  578.1  24.4  -
ndhJ                 -          u58                  -                1     477   20385   19909   20385   19909     477    -    1.1e-171  573.9  13.7  -
ycf68                -          u58                  -                1     478   90123   89639   90123   89631     484    -    9.3e-167  557.7   0.5  -
rpl2                 -          u58                  -              383     826   60103   59662   60123   59662     826    -    3.4e-165  552.8  13.4  -
ycf2                 -          u58                  -             6358    6869  100352   99832  100372   99832    6869    -    1.4e-162  540.9  25.2  -
rpoC1                -          u58                  -                1     442  132784  132343  132784  132323    2049    -    2.7e-149  499.1  23.7  -
rpl2                 -          u58                  -                1     391   61165   60775   61165   60757     826    -    2.6e-146  490.3  13.0  -
atpF                 -          u58                  -              145     555  120612  120202  120632  120202     555    -    5.1e-141  472.8  24.3  -
